@relation output_weak

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute preference {different,tie}

@data
15,2,3,7,0.770477,5,0.085226,4,10,1,1,0.015008,-1,-3,-0.229523,4,0.070218,different
21,4,2,5,0.581693,1,0.016602,1,4,0.51756,0,0,1,1,0.064133,1,0.016602,tie
24,4,2,6,0.694245,0,0,2,4,0.52973,0,0,0,2,0.164515,0,0,different
22,5,3,7,0.792007,9,0.148226,2,6,0.728395,5,0.088023,1,1,0.063611,4,0.060203,tie
21,4,1,1,0.180064,0,0,4,6,0.69258,0,0,-3,-5,-0.512515,0,0,tie
15,2,3,8,0.844465,6,0.092597,3,8,0.847636,4,0.056354,0,0,-0.003171,2,0.036243,tie
27,5,3,10,1,1,0.01386,5,10,1,1,0.013564,-2,0,0,0,0.000297,different
9,1,6,9,0.944661,6,0.077605,5,8,0.850129,0,0,1,1,0.094532,6,0.077605,different
24,3,3,3,0.447539,1,0.015662,4,5,0.598708,0,0,-1,-2,-0.151169,1,0.015662,different
21,2,4,9,0.940014,7,0.08682,4,7,0.779374,2,0.030751,0,2,0.16064,5,0.056069,different
23,5,2,4,0.477725,1,0.015989,2,3,0.340195,0,0,0,1,0.13753,1,0.015989,tie
18,3,3,9,0.931946,12,0.187993,3,7,0.746602,4,0.079252,0,2,0.185344,8,0.108741,tie
21,3,3,4,0.472596,11,0.14448,5,7,0.802944,9,0.111782,-2,-3,-0.330348,2,0.032698,tie
18,3,2,7,0.750977,7,0.118823,3,10,1,1,0.002367,-1,-3,-0.249023,6,0.116456,different
