char_length,word_length,baidu_vertical_types_number,baidu_vertical_results_number,baidu_vertical_results_area_fraction,baidu_total_images_number,baidu_total_images_area_fraction,baidu_rank_by_type_1,baidu_position_y_1,baidu_height_1,baidu_distance_by_type_1,baidu_title_char_length_1,baidu_title_word_length_1,baidu_title_matches_1,baidu_snippet_char_length_1,baidu_snippet_word_length_1,baidu_snippet_matches_1,baidu_vertical_type_1,baidu_images_number_1,baidu_images_area_fraction_1,baidu_is_vertical_1,baidu_is_identical_url_1,baidu_had_image_1,sogou_vertical_types_number,sogou_vertical_results_number,sogou_vertical_results_area_fraction,sogou_total_images_number,sogou_total_images_area_fraction,sogou_rank_by_type_1,sogou_position_y_1,sogou_height_1,sogou_distance_by_type_1,sogou_title_char_length_1,sogou_title_word_length_1,sogou_title_matches_1,sogou_snippet_char_length_1,sogou_snippet_word_length_1,sogou_snippet_matches_1,sogou_vertical_type_1,sogou_images_number_1,sogou_images_area_fraction_1,sogou_is_vertical_1,sogou_is_identical_url_1,sogou_had_image_1,delta_vertical_types_number,delta_vertical_results_number,delta_vertical_results_area_fraction,delta_total_images_number,delta_total_images_area_fraction,delta_position_y_1,delta_height_1,delta_title_char_length_1,delta_title_word_length_1,delta_title_matches_1,delta_snippet_char_length_1,delta_snippet_word_length_1,delta_snippet_matches_1,delta_images_number_1,delta_images_area_fraction_1,delta_is_vertical_1,delta_is_identical_url_1,delta_had_image_1,preference
21,4,2,4,0.468,2,0.0337360594796,1,5.0,109.0,0,56,10,1,228,42,3,image_text,1,0.15475256642,1,0,1,3,3,0.465888689408,4,0.106962624449,1,5.0,345.0,0,80,21,7,824,157,27,others,4,0.345380764163,1,0,1,-1,1,0.00211131059246,-2,-0.0732265649696,0.0,-236.0,-24,-11,-6,-596,-115,-24,-3,-0.190628197743,0,0,0,sogou
18,3,4,8,0.872563718141,14,0.208064183522,1,5.0,192.0,0,90,17,6,230,51,3,others,4,0.468672552664,1,0,1,4,9,0.926952141058,1,0.0152721166323,1,5.0,90.0,0,25,5,2,0,0,0,experience,0,0.0,1,0,0,0,-1,-0.054388422917,13,0.192792066889,0.0,102.0,65,12,4,230,51,3,4,0.468672552664,0,0,1,baidu
15,3,4,10,1.0,9,0.142139691164,1,5.0,120.0,0,61,14,4,163,37,8,download,1,0.170554522924,1,0,1,5,9,0.849895760945,10,0.138732705793,1,5.0,254.0,0,48,10,2,0,0,0,experience,4,0.321374373658,1,1,1,-1,1,0.150104239055,-1,0.00340698537069,0.0,-134.0,13,4,2,163,37,8,-3,-0.150819850733,0,-1,0,baidu
27,4,4,5,0.629045643154,7,0.172048003208,1,5.0,85.0,0,35,7,3,224,38,6,organic,0,0.0,0,0,0,3,4,0.590266875981,2,0.0682802911374,1,5.0,87.0,0,39,7,3,236,44,10,organic,0,0.0,0,0,0,1,1,0.0387787671724,5,0.103767712071,0.0,-2.0,-4,0,0,-12,-6,-4,0,0.0,0,0,0,baidu
24,3,3,6,0.704604691573,4,0.0717139452036,1,5.0,165.0,0,38,7,2,224,51,5,reading,0,0.0,1,0,0,4,7,0.751191611058,0,0.0,1,5.0,158.0,0,31,5,3,0,0,0,reading,0,0.0,1,0,0,-1,-1,-0.0465869194856,4,0.0717139452036,0.0,7.0,7,2,-1,224,51,5,0,0.0,0,0,0,baidu
12,2,3,4,0.468196037539,4,0.074109105287,1,5.0,85.0,0,41,10,1,208,48,1,organic,0,0.0,0,1,0,3,3,0.458141674333,1,0.0167332943046,1,5.0,87.0,0,41,10,1,225,48,1,organic,0,0.0,0,1,0,0,1,0.0100543632061,3,0.0573758109824,0.0,-2.0,0,0,0,-17,0,0,0,0.0,0,0,0,sogou
24,4,2,4,0.499058380414,2,0.0317665343499,1,5.0,111.0,0,87,19,3,151,36,3,image_text,1,0.15196423189,1,0,1,3,9,0.928512736237,0,0.0,1,5.0,90.0,0,70,16,2,0,0,0,image_text,0,0.0,1,0,0,-1,-5,-0.429454355822,2,0.0317665343499,0.0,21.0,17,3,1,151,36,3,1,0.15196423189,0,0,1,baidu
32,9,2,6,0.670103092784,5,0.0869486069061,1,5.0,109.0,0,79,19,9,228,54,10,image_text,1,0.15475256642,1,0,1,2,8,0.82874015748,1,0.0179026485326,1,5.0,87.0,0,87,19,11,236,49,12,organic,0,0.0,0,1,0,0,-2,-0.158637064697,4,0.0690459583735,0.0,22.0,-8,0,-2,-8,5,-2,1,0.15475256642,1,-1,1,sogou
17,2,3,10,1.0,13,0.175172638935,1,5.0,228.0,0,36,6,2,0,0,0,image,4,0.305289245418,1,0,1,4,7,0.714386459803,6,0.109685857161,1,5.0,516.0,0,88,19,4,1313,226,9,others,4,0.230923185342,1,0,1,-1,3,0.285613540197,7,0.0654867817735,0.0,-288.0,-52,-13,-2,-1313,-226,-9,0,0.0743660600766,0,0,0,sogou
24,3,6,10,1.0,17,0.216379282752,1,5.0,138.0,0,43,7,3,0,0,0,image,2,0.36561877054,1,0,1,5,10,1.0,8,0.111755725191,1,5.0,90.0,0,40,6,3,0,0,0,image_text,0,0.0,1,0,0,1,0,0.0,9,0.104623557561,0.0,48.0,3,1,0,0,0,0,2,0.36561877054,0,0,1,sogou
