query	baidu_max_title_char_length_first_screen	baidu_max_title_word_length_first_screen	baidu_max_title_matches_fraction_with_query_first_screen	baidu_avg_title_char_length_first_screen	baidu_avg_title_word_length_first_screen	baidu_avg_title_matches_fraction_with_query_first_screen	baidu_max_snippet_char_length_first_screen	baidu_max_snippet_word_length_first_screen	baidu_max_snippet_matches_fraction_with_query_first_screen	baidu_avg_snippet_char_length_first_screen	baidu_avg_snippet_word_length_first_screen	baidu_avg_snippet_matches_fraction_with_query_first_screen	baidu_max_title_char_length_other_screens	baidu_max_title_word_length_other_screens	baidu_max_title_matches_fraction_with_query_other_screens	baidu_avg_title_char_length_other_screens	baidu_avg_title_word_length_other_screens	baidu_avg_title_matches_fraction_with_query_other_screens	baidu_max_snippet_char_length_other_screens	baidu_max_snippet_word_length_other_screens	baidu_max_snippet_matches_fraction_with_query_other_screens	baidu_avg_snippet_char_length_other_screens	baidu_avg_snippet_word_length_other_screens	baidu_avg_snippet_matches_fraction_with_query_other_screens	sogou_max_title_char_length_first_screen	sogou_max_title_word_length_first_screen	sogou_max_title_matches_fraction_with_query_first_screen	sogou_avg_title_char_length_first_screen	sogou_avg_title_word_length_first_screen	sogou_avg_title_matches_fraction_with_query_first_screen	sogou_max_snippet_char_length_first_screen	sogou_max_snippet_word_length_first_screen	sogou_max_snippet_matches_fraction_with_query_first_screen	sogou_avg_snippet_char_length_first_screen	sogou_avg_snippet_word_length_first_screen	sogou_avg_snippet_matches_fraction_with_query_first_screen	sogou_max_title_char_length_other_screens	sogou_max_title_word_length_other_screens	sogou_max_title_matches_fraction_with_query_other_screens	sogou_avg_title_char_length_other_screens	sogou_avg_title_word_length_other_screens	sogou_avg_title_matches_fraction_with_query_other_screens	sogou_max_snippet_char_length_other_screens	sogou_max_snippet_word_length_other_screens	sogou_max_snippet_matches_fraction_with_query_other_screens	sogou_avg_snippet_char_length_other_screens	sogou_avg_snippet_word_length_other_screens	sogou_avg_snippet_matches_fraction_with_query_other_screens	delta_max_title_char_length_first_screen	delta_max_title_word_length_first_screen	delta_max_title_matches_fraction_with_query_first_screen	delta_avg_title_char_length_first_screen	delta_avg_title_word_length_first_screen	delta_avg_title_matches_fraction_with_query_first_screen	delta_max_snippet_char_length_first_screen	delta_max_snippet_word_length_first_screen	delta_max_snippet_matches_fraction_with_query_first_screen	delta_avg_snippet_char_length_first_screen	delta_avg_snippet_word_length_first_screen	delta_avg_snippet_matches_fraction_with_query_first_screen	delta_max_title_char_length_other_screens	delta_max_title_word_length_other_screens	delta_max_title_matches_fraction_with_query_other_screens	delta_avg_title_char_length_other_screens	delta_avg_title_word_length_other_screens	delta_avg_title_matches_fraction_with_query_other_screens	delta_max_snippet_char_length_other_screens	delta_max_snippet_word_length_other_screens	delta_max_snippet_matches_fraction_with_query_other_screens	delta_avg_snippet_char_length_other_screens	delta_avg_snippet_word_length_other_screens	delta_avg_snippet_matches_fraction_with_query_other_screens	
杀破狼2迅雷下载	86	21	0.714285714286	74.4	18.0	0.382155388471	229	62	0.35593220339	191.4	44.8	0.190602186223	86	20	0.5	66.8	16.2	0.364700854701	219	62	0.305555555556	193.2	49.8	0.186277060369	80	18	0.4	64.75	14.5	0.303373015873	375	116	0.129310344828	93.75	29.0	0.0323275862069	88	20	0.714285714286	72.5	17.1666666667	0.374018379282	229	45	0.244444444444	76.0	14.5	0.0526455026455	6	3	0.314285714286	9.65	3.5	0.0787823725982	-146	-54	0.226621858562	97.65	15.8	0.158274600016	-2	0	-0.214285714286	-5.7	-0.966666666667	-0.00931752458068	-10	17	0.0611111111111	117.2	35.3	0.133631557724	
澳门风云2高清观看	69	16	0.5	51.5	11.25	0.439236111111	375	74	0.176470588235	259.75	57.5	0.0996023409364	77	18	0.571428571429	58.5	13.3333333333	0.393331777155	226	49	0.292682926829	176.166666667	37.1666666667	0.159400457347	94	19	0.6	53.0	11.3333333333	0.471929824561	0	0	0	0.0	0.0	0.0	93	21	0.5	54.3333333333	12.1666666667	0.308333333333	312	69	0.376811594203	52.0	11.5	0.0628019323671	-25	-3	-0.1	-1.5	-0.0833333333333	-0.0326937134503	375	74	0.176470588235	259.75	57.5	0.0996023409364	-16	-3	0.0714285714286	4.16666666667	1.16666666667	0.084998443822	-86	-20	-0.0841286673736	124.166666667	25.6666666667	0.0965985249797	
巴拉拉小魔仙演员表图片	52	9	0.777777777778	29.6666666667	6.0	0.333333333333	193	50	0.1	64.3333333333	16.6666666667	0.0333333333333	91	16	0.833333333333	49.0	8.42857142857	0.631519274376	303	63	0.285714285714	230.285714286	49.7142857143	0.205388619567	67	14	0.444444444444	40.0	8.75	0.170634920635	746	161	0.0683229813665	186.5	40.25	0.0170807453416	94	24	0.571428571429	62.8333333333	14.3333333333	0.317691798942	0	0	0	0.0	0.0	0.0	-15	-5	0.333333333333	-10.3333333333	-2.75	0.162698412698	-553	-111	0.0316770186335	-122.166666667	-23.5833333333	0.0162525879917	-3	-8	0.261904761905	-13.8333333333	-5.90476190476	0.313827475435	303	63	0.285714285714	230.285714286	49.7142857143	0.205388619567	
渐进老花镜	90	15	0.4	52.0	9.4	0.315213675214	245	53	0.148936170213	94.6	20.0	0.0411079887595	85	16	0.4	66.6	12.6	0.226245421245	259	54	0.2	223.0	42.8	0.137593824423	82	19	0.210526315789	66.5	15.0	0.196172248804	1001	186	0.112903225806	500.5	93.0	0.0564516129032	94	16	0.5	59.7142857143	10.2857142857	0.29880952381	670	133	0.190476190476	164.285714286	31.4285714286	0.0730158730159	8	-4	0.189473684211	-14.5	-5.6	0.11904142641	-756	-133	0.0360329444063	-405.9	-73.0	-0.0153436241437	-9	0	-0.1	6.88571428571	2.31428571429	-0.0725641025641	-411	-79	0.00952380952381	58.7142857143	11.3714285714	0.0645779514072	
魂王的遗迹怎么打	83	22	0.5	64.0	15.0	0.314393939394	227	54	0.166666666667	203.25	50.5	0.106681064551	86	18	0.555555555556	65.8333333333	14.3333333333	0.280448717949	211	59	0.224489795918	185.333333333	45.6666666667	0.14869224526	83	18	0.555555555556	47.6	10.6	0.315873015873	528	124	0.129032258065	105.6	24.8	0.0258064516129	86	23	0.555555555556	66.0	15.8	0.293264588271	0	0	0	0.0	0.0	0.0	0	4	-0.0555555555556	16.4	4.4	-0.00147907647908	-301	-70	0.0376344086022	97.65	25.7	0.0808746129376	0	-5	0.0	-0.166666666667	-1.46666666667	-0.0128158703219	211	59	0.224489795918	185.333333333	45.6666666667	0.14869224526	
摇滚乐	52	9	0.333333333333	36.3333333333	6.66666666667	0.148148148148	236	64	0.03125	156.666666667	38.3333333333	0.0104166666667	80	17	0.222222222222	36.4285714286	7.57142857143	0.133333333333	243	54	0.0925925925926	129.714285714	28.8571428571	0.0247824330678	84	20	0.166666666667	41.6666666667	10.3333333333	0.0722222222222	106	21	0.0952380952381	35.3333333333	7.0	0.031746031746	90	17	0.166666666667	49.4285714286	9.57142857143	0.0857142857143	0	0	0	0.0	0.0	0.0	-32	-11	0.166666666667	-5.33333333333	-3.66666666667	0.0759259259259	130	43	-0.0639880952381	121.333333333	31.3333333333	-0.0213293650794	-10	0	0.0555555555556	-13.0	-2.0	0.047619047619	243	54	0.0925925925926	129.714285714	28.8571428571	0.0247824330678	
编织包包	81	17	0.5	43.6666666667	9.0	0.395424836601	374	79	0.178571428571	168.0	35.6666666667	0.0806208559373	88	21	0.352941176471	74.7142857143	15.8571428571	0.206661612013	292	74	0.326923076923	209.142857143	49.2857142857	0.135867553554	91	21	0.5	45.0	9.4	0.361904761905	381	65	0.430769230769	123.6	22.8	0.0902354788069	94	17	0.333333333333	40.25	7.25	0.225490196078	574	116	0.189655172414	143.5	29.0	0.0474137931034	-10	-4	0.0	-1.33333333333	-0.4	0.0335200746965	-7	14	-0.252197802198	44.4	12.8666666667	-0.0096146228696	-6	4	0.0196078431373	34.4642857143	8.60714285714	-0.0188285840652	-282	-42	0.137267904509	65.6428571429	20.2857142857	0.0884537604508	
ipclient监控软件下载	78	17	0.333333333333	75.0	15.0	0.263725490196	243	51	0.239130434783	215.4	44.6	0.130607599562	77	20	0.3	57.6	12.6	0.137142857143	211	52	0.191489361702	203.8	47.4	0.101374371131	89	19	0.421052631579	84.2	17.4	0.221465428277	0	0	0	0.0	0.0	0.0	93	19	0.4375	82.4	16.0	0.264129072682	235	46	0.2	136.4	25.6	0.0851345755694	-11	-2	-0.0877192982456	-9.2	-2.4	0.0422600619195	243	51	0.239130434783	215.4	44.6	0.130607599562	-16	1	-0.1375	-24.8	-3.4	-0.126986215539	-24	6	-0.00851063829787	67.4	21.8	0.0162397955619	
打开心中的那把锁作文	82	20	0.875	58.4	14.2	0.596944444444	227	58	0.5	223.6	54.4	0.250772449513	92	22	0.666666666667	60.0	15.6	0.493868092692	228	61	0.35	180.4	46.8	0.186542661027	86	20	0.888888888889	52.6	12.6	0.742450980392	238	59	0.413043478261	173.0	40.8	0.180388203724	83	21	0.619047619048	47.4	12.0	0.387067099567	554	127	0.30303030303	232.6	50.6	0.170437644158	-4	0	-0.0138888888889	5.8	1.6	-0.145506535948	-11	-1	0.0869565217391	50.6	13.6	0.0703842457898	9	1	0.047619047619	12.6	3.6	0.106800993125	-326	-66	0.0469696969697	-52.2	-3.8	0.0161050168691	
学习双学双严心得体会	55	10	1.0	38.4	6.2	0.58	230	56	0.12	227.0	50.4	0.0874899414311	59	11	0.6	46.4	7.6	0.454545454545	230	57	0.2	212.2	49.6	0.13458733791	61	11	0.5	44.6666666667	8.0	0.462000962001	240	48	0.25	196.0	38.6666666667	0.0945084712372	94	15	1.0	51.0	8.0	0.594444444444	237	49	0.142857142857	175.75	36.0	0.0884625126646	-6	-1	0.5	-6.26666666667	-1.8	0.117999037999	-10	8	-0.13	31.0	11.7333333333	-0.00701852980608	-35	-4	-0.4	-4.6	-0.4	-0.139898989899	-7	8	0.0571428571429	36.45	13.6	0.0461248252454	
