query	baidu_reciprocal_of_the_rank_of_the_first_vertical_result	baidu_position_y_of_the_first_vertical_result	baidu_height_of_the_first_vertical_result	baidu_reciprocal_of_the_rank_of_the_first_result_with_image	baidu_position_y_of_the_first_result_with_image	baidu_height_of_the_first_result_with_image	baidu_fraction_of_vertical_results_first_screen	baidu_area_fraction_of_vertical_result_first_screen	baidu_fraction_of_results_with_images_first_screen	baidu_area_fraction_of_results_with_images_first_screen	baidu_number_of_images_first_screen	baidu_area_fraction_of_images_first_screen	baidu_number_of_vertical_types_first_screen	baidu_had_encyclopedia_first_screen	baidu_had_gps_map_first_screen	baidu_had_forum_first_screen	baidu_had_experience_first_screen	baidu_fraction_of_vertical_results_other_screens	baidu_area_fraction_of_vertical_result_other_screens	baidu_fraction_of_results_with_images_other_screens	baidu_area_fraction_of_results_with_images_other_screens	baidu_number_of_images_other_screens	baidu_area_fraction_of_images_other_screens	baidu_number_of_vertical_types_other_screens	baidu_had_encyclopedia_other_screens	baidu_had_gps_map_other_screens	baidu_had_forum_other_screens	baidu_had_experience_other_screens	sogou_reciprocal_of_the_rank_of_the_first_vertical_result	sogou_position_y_of_the_first_vertical_result	sogou_height_of_the_first_vertical_result	sogou_reciprocal_of_the_rank_of_the_first_result_with_image	sogou_position_y_of_the_first_result_with_image	sogou_height_of_the_first_result_with_image	sogou_fraction_of_vertical_results_first_screen	sogou_area_fraction_of_vertical_result_first_screen	sogou_fraction_of_results_with_images_first_screen	sogou_area_fraction_of_results_with_images_first_screen	sogou_number_of_images_first_screen	sogou_area_fraction_of_images_first_screen	sogou_number_of_vertical_types_first_screen	sogou_had_encyclopedia_first_screen	sogou_had_gps_map_first_screen	sogou_had_forum_first_screen	sogou_had_experience_first_screen	sogou_fraction_of_vertical_results_other_screens	sogou_area_fraction_of_vertical_result_other_screens	sogou_fraction_of_results_with_images_other_screens	sogou_area_fraction_of_results_with_images_other_screens	sogou_number_of_images_other_screens	sogou_area_fraction_of_images_other_screens	sogou_number_of_vertical_types_other_screens	sogou_had_encyclopedia_other_screens	sogou_had_gps_map_other_screens	sogou_had_forum_other_screens	sogou_had_experience_other_screens	delta_reciprocal_of_the_rank_of_the_first_vertical_result	delta_position_y_of_the_first_vertical_result	delta_height_of_the_first_vertical_result	delta_reciprocal_of_the_rank_of_the_first_result_with_image	delta_position_y_of_the_first_result_with_image	delta_height_of_the_first_result_with_image	delta_fraction_of_vertical_results_first_screen	delta_area_fraction_of_vertical_result_first_screen	delta_fraction_of_results_with_images_first_screen	delta_area_fraction_of_results_with_images_first_screen	delta_number_of_images_first_screen	delta_area_fraction_of_images_first_screen	delta_number_of_vertical_types_first_screen	delta_had_encyclopedia_first_screen	delta_had_gps_map_first_screen	delta_had_forum_first_screen	delta_had_experience_first_screen	delta_fraction_of_vertical_results_other_screens	delta_area_fraction_of_vertical_result_other_screens	delta_fraction_of_results_with_images_other_screens	delta_area_fraction_of_results_with_images_other_screens	delta_number_of_images_other_screens	delta_area_fraction_of_images_other_screens	delta_number_of_vertical_types_other_screens	delta_had_encyclopedia_other_screens	delta_had_gps_map_other_screens	delta_had_forum_other_screens	delta_had_experience_other_screens	
河北科技大学	1.0	5.0	85.0	0.5	104.0	150.0	1.0	1.0	0.666666666667	0.816810344828	2.0	0.0811835021151	3	1	0	1	0	0.857142857143	0.932054356515	0.571428571429	0.716227018385	4.0	0.108516903949	5	0	1	1	0	1.0	13.0	164.0	0.25	479.0	175.0	1.0	1.0	0.25	0.278219395866	1.0	0.0111163940191	2	1	0	0	0	0.666666666667	0.818938605619	0.166666666667	0.339229968783	1.0	0.0955650429038	3	0	1	1	0	0.0	-8.0	-79.0	0.25	-375.0	-25.0	0.0	0.0	0.416666666667	0.538590948961	1.0	0.070067108096	1	0	0	1	0	0.190476190476	0.113115750896	0.404761904762	0.376997049603	3.0	0.0129518610452	2	0	0	0	0	
火影忍者下载+迅雷下载	0.5	104.0	114.0	0.333333333333	232.0	109.0	0.6	0.658634538153	0.2	0.218875502008	1.0	0.0338715456622	3	0	0	1	0	0.8	0.835271317829	0.8	0.835271317829	4.0	0.130759920463	1	0	0	0	0	0.333333333333	205.0	90.0	0	-1	0	0.4	0.508474576271	0.0	0.0	0.0	0.0	2	0	0	1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	0	0.166666666667	-101.0	24.0	0.333333333333	233.0	109.0	0.2	0.150159961881	0.2	0.218875502008	1.0	0.0338715456622	1	0	0	0	0	-0.2	-0.164728682171	0.8	0.835271317829	4.0	0.130759920463	-1	0	0	-1	0	
北京丰台建都医院	1.0	5.0	89.0	0.5	108.0	109.0	0.75	0.858569051581	0.5	0.710482529118	2.0	0.259561202209	3	1	1	0	0	0.666666666667	0.671814671815	0.333333333333	0.420849420849	2.0	0.0651275279528	2	0	0	0	0	0.5	125.0	175.0	0.5	125.0	175.0	0.25	0.352822580645	0.25	0.352822580645	1.0	0.0164552785924	1	0	0	0	0	0.666666666667	0.778925619835	0.333333333333	0.479338842975	2.0	0.129534184823	3	0	1	1	0	0.5	-120.0	-86.0	0.0	-17.0	-66.0	0.5	0.505746470936	0.25	0.357659948473	1.0	0.243105923617	2	1	1	0	0	0.0	-0.10711094802	0.0	-0.0584894221258	0.0	-0.0644066568706	-1	0	-1	-1	0	
邱县贴吧最新消息	1.0	5.0	229.0	1.0	5.0	229.0	1.0	1.0	0.666666666667	0.699792960663	2.0	0.0565702278972	2	0	0	1	0	1.0	1.0	0.714285714286	0.716363636364	5.0	0.106592317224	4	0	0	1	0	0.333333333333	205.0	178.0	0.166666666667	595.0	235.0	0.2	0.338403041825	0.0	0.0	0.0	0.0	1	0	0	1	0	1.0	1.0	0.2	0.380875202593	1.0	0.0438603212023	2	0	0	1	0	0.666666666667	-200.0	51.0	0.833333333333	-590.0	-6.0	0.8	0.661596958175	0.666666666667	0.699792960663	2.0	0.0565702278972	1	0	0	0	0	0.0	0.0	0.514285714286	0.33548843377	4.0	0.062731996022	2	0	0	0	0	
思量qq亮钻大师	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	0.8	0.811490125673	4.0	0.127595389534	3	0	0	1	0	0.8	0.841417910448	0.2	0.203358208955	1.0	0.0314702047384	2	0	0	0	0	1.0	5.0	118.0	0.5	135.0	128.0	1.0	1.0	0.2	0.235294117647	1.0	0.037513368984	2	0	0	0	0	0.4	0.408163265306	0.0	0.0	0.0	0.0	1	0	0	0	0	0.0	0.0	-9.0	0.5	-130.0	-19.0	0.0	0.0	0.6	0.576196008026	3.0	0.0900820205497	1	0	0	1	0	0.4	0.433254645142	0.2	0.203358208955	1.0	0.0314702047384	1	0	0	0	0	
nba2015全明星赛	0.333333333333	204.0	109.0	0.2	427.0	104.0	0.5	0.556896551724	0.333333333333	0.368965517241	2.0	0.0581656197923	2	1	0	0	0	1.0	1.0	1.0	1.0	4.0	0.133340772927	2	0	0	0	0	0.5	105.0	180.0	0.2	545.0	206.0	0.75	0.822810590631	0.0	0.0	0.0	0.0	2	0	0	1	0	1.0	1.0	0.333333333333	0.472766884532	5.0	0.108734402852	4	0	0	0	0	-0.166666666667	99.0	-71.0	0.0	-118.0	-102.0	-0.25	-0.265914038907	0.333333333333	0.368965517241	2.0	0.0581656197923	0	1	0	-1	0	0.0	0.0	0.666666666667	0.527233115468	-1.0	0.0246063700753	-2	0	0	0	0	
基督教儿歌大全100首	1.0	5.0	109.0	1.0	5.0	109.0	0.8	0.841121495327	0.8	0.841121495327	4.0	0.13620539902	3	0	0	0	0	0.6	0.657258064516	0.4	0.439516129032	2.0	0.0680162489507	2	0	0	0	0	0.5	105.0	90.0	0	-1	0	0.5	0.515769944341	0.0	0.0	0.0	0.0	2	0	0	0	0	0.5	0.595348837209	0.0	0.0	0.0	0.0	2	0	0	1	0	0.5	-100.0	19.0	1.0	6.0	109.0	0.3	0.325351550986	0.8	0.841121495327	4.0	0.13620539902	1	0	0	0	0	0.1	0.0619092273068	0.4	0.439516129032	2.0	0.0680162489507	0	0	0	-1	0	
致我们终将逝去的青春电影完整版	1.0	5.0	209.0	1.0	5.0	209.0	0.75	0.854202401372	0.75	0.854202401372	3.0	0.15122396016	3	1	0	0	0	0.5	0.602803738318	0.333333333333	0.339563862928	2.0	0.0525483792516	2	0	0	0	0	1.0	5.0	244.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	0	0	0.0	0.0	-35.0	1.0	6.0	209.0	-0.25	-0.145797598628	0.75	0.854202401372	3.0	0.15122396016	2	1	0	0	0	-0.5	-0.397196261682	0.333333333333	0.339563862928	2.0	0.0525483792516	0	0	0	0	0	
学驾照科目一模拟考试	1.0	5.0	104.0	1.0	5.0	104.0	0.6	0.704347826087	0.6	0.704347826087	7.0	0.214578955875	2	0	0	0	0	0.8	0.836852207294	0.8	0.836852207294	4.0	0.129505026793	1	0	0	0	0	1.0	5.0	90.0	0.5	107.0	130.0	1.0	1.0	0.2	0.265306122449	1.0	0.0314063079777	2	0	0	0	0	0.8	0.857610474632	0.6	0.595744680851	3.0	0.0847254872787	3	0	0	1	0	0.0	0.0	14.0	0.5	-102.0	-26.0	-0.4	-0.295652173913	0.4	0.439041703638	6.0	0.183172647897	0	0	0	0	0	0.0	-0.0207582673381	0.2	0.241107526443	1.0	0.0447795395142	-2	0	0	-1	0	
最近10天电影	1.0	5.0	210.0	1.0	5.0	210.0	0.4	0.55574912892	0.4	0.55574912892	5.0	0.172010802689	2	0	0	0	0	0.2	0.268817204301	0.0	0.0	0.0	0.0	1	0	0	1	0	1.0	5.0	90.0	0.166666666667	724.0	228.0	0.5	0.649899396378	0.0	0.0	0.0	0.0	2	0	0	0	0	0.333333333333	0.527173913043	0.166666666667	0.309782608696	1.0	0.0247134387352	2	0	0	1	0	0.0	0.0	120.0	0.833333333333	-719.0	-18.0	-0.1	-0.0941502674584	0.4	0.55574912892	5.0	0.172010802689	0	0	0	0	0	-0.133333333333	-0.258356708742	-0.166666666667	-0.309782608696	-1.0	-0.0247134387352	-1	0	0	0	0	
比亚迪唐最新消息	1.0	5.0	176.0	1.0	5.0	176.0	1.0	1.0	1.0	1.0	7.0	0.242216146263	3	0	0	0	0	0.833333333333	0.891719745223	0.833333333333	0.891719745223	5.0	0.099270712476	2	0	0	1	0	0.5	105.0	90.0	0.2	499.0	228.0	0.75	0.804494382022	0.0	0.0	0.0	0.0	2	0	0	1	0	0.666666666667	0.749279538905	0.166666666667	0.328530259366	1.0	0.0262090647105	3	0	0	0	0	0.5	-100.0	86.0	0.8	-494.0	-52.0	0.25	0.195505617978	1.0	1.0	7.0	0.242216146263	1	0	0	-1	0	0.166666666667	0.142440206318	0.666666666667	0.563189485857	4.0	0.0730616477655	-1	0	0	1	0	
怎样邀请好友加入群	1.0	5.0	243.0	1.0	5.0	243.0	1.0	1.0	0.75	0.812834224599	6.0	0.20766819739	4	0	0	1	1	1.0	1.0	0.833333333333	0.81884057971	5.0	0.122232099564	3	0	0	1	0	1.0	5.0	90.0	0.5	107.0	216.0	1.0	1.0	0.25	0.375	4.0	0.141717171717	3	0	0	1	1	0.666666666667	0.75	0.166666666667	0.327586206897	1.0	0.0261337513062	4	0	0	1	0	0.0	0.0	153.0	0.5	-102.0	27.0	0.0	0.0	0.5	0.437834224599	2.0	0.0659510256733	1	0	0	0	0	0.333333333333	0.25	0.666666666667	0.491254372814	4.0	0.0960983482574	-1	0	0	0	0	
肝火旺的症状	1.0	5.0	110.0	0.5	129.0	150.0	1.0	1.0	0.5	0.499017681729	2.0	0.0733488654041	3	0	0	0	0	1.0	1.0	0.166666666667	0.243654822335	5.0	0.113979676561	3	0	0	1	0	1.0	5.0	113.0	0.333333333333	372.0	216.0	1.0	1.0	0.333333333333	0.386404293381	3.0	0.109520247195	3	1	0	0	1	0.714285714286	0.82406471183	0.428571428571	0.553083923155	3.0	0.0892324662193	5	0	0	1	1	0.0	0.0	-3.0	0.166666666667	-243.0	-66.0	0.0	0.0	0.166666666667	0.112613388348	-1.0	-0.0361713817905	0	-1	0	0	-1	0.285714285714	0.17593528817	-0.261904761905	-0.30942910082	2.0	0.0247472103417	-2	0	0	0	-1	
用电饭锅怎么做蛋糕	1.0	5.0	243.0	1.0	5.0	243.0	1.0	1.0	1.0	1.0	11.0	0.281977043931	2	0	0	0	1	1.0	1.0	0.857142857143	0.876276958002	9.0	0.196825591061	4	0	0	0	0	1.0	5.0	254.0	1.0	5.0	254.0	1.0	1.0	0.25	0.385432473445	4.0	0.123868119741	3	0	0	1	1	1.0	1.0	0.5	0.543181818182	3.0	0.0645289256198	3	0	0	0	0	0.0	0.0	-11.0	0.0	0.0	-11.0	0.0	0.0	0.75	0.614567526555	7.0	0.158108924191	-1	0	0	-1	0	0.0	0.0	0.357142857143	0.33309513982	6.0	0.132296665441	1	0	0	0	0	
小学美术教案+简笔画	1.0	5.0	150.0	1.0	5.0	150.0	0.75	0.83300589391	0.5	0.50884086444	3.0	0.141205512668	3	0	0	0	0	0.5	0.551056338028	0.166666666667	0.211267605634	1.0	0.0360326456883	2	0	0	0	0	1.0	5.0	178.0	0	-1	0	0.4	0.542907180385	0.0	0.0	0.0	0.0	2	0	0	0	0	0.6	0.654708520179	0.0	0.0	0.0	0.0	2	0	0	0	0	0.0	0.0	-28.0	1.0	6.0	150.0	0.35	0.290098713524	0.5	0.50884086444	3.0	0.141205512668	1	0	0	0	0	-0.1	-0.103652182151	0.166666666667	0.211267605634	1.0	0.0360326456883	0	0	0	0	0	
刘老根大舞台	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	1.0	1.0	6.0	0.266073088157	3	1	0	0	0	0.714285714286	0.855555555556	0.714285714286	0.855555555556	6.0	0.224665427509	5	0	1	0	0	1.0	5.0	206.0	1.0	5.0	206.0	0.75	0.822085889571	0.25	0.421267893661	4.0	0.166930656256	1	0	0	0	0	0.833333333333	0.913432835821	0.5	0.71144278607	5.0	0.154514699231	5	1	0	0	0	0.0	0.0	-97.0	0.0	0.0	-97.0	0.25	0.177914110429	0.75	0.578732106339	2.0	0.0991424319014	2	1	0	0	0	-0.119047619048	-0.0578772802653	0.214285714286	0.144112769486	1.0	0.0701507282782	0	-1	1	0	0	
睿德二元期权可靠吗	0.2	467.0	109.0	0.166666666667	590.0	109.0	0.2	0.211650485437	0.0	0.0	0.0	0.0	1	0	0	0	0	0.4	0.432071269488	0.2	0.24276169265	1.0	0.0375679949661	2	0	0	0	0	1.0	5.0	309.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	1	0	0	1	0	0.714285714286	0.763586956522	0.0	0.0	0.0	0.0	4	0	0	1	0	-0.8	462.0	-200.0	0.166666666667	591.0	109.0	-0.8	-0.788349514563	0.0	0.0	0.0	0.0	0	0	0	-1	0	-0.314285714286	-0.331515687034	0.2	0.24276169265	1.0	0.0375679949661	-2	0	0	-1	0	
新农村	1.0	5.0	141.0	1.0	5.0	141.0	1.0	1.0	0.666666666667	0.678707224335	3.0	0.123061755269	3	1	0	0	0	0.857142857143	0.916584887144	0.571428571429	0.745829244357	4.0	0.135020119587	5	1	1	1	0	1.0	5.0	307.0	1.0	5.0	307.0	0.333333333333	0.638253638254	0.333333333333	0.638253638254	6.0	0.420260820261	1	0	0	0	0	1.0	1.0	0.571428571429	0.564570655849	4.0	0.100703177823	4	0	1	1	0	0.0	0.0	-166.0	0.0	0.0	-166.0	0.666666666667	0.361746361746	0.333333333333	0.040453586081	-3.0	-0.297199064992	2	1	0	0	0	-0.142857142857	-0.0834151128557	0.0	0.181258588509	0.0	0.0343169417637	1	1	0	0	0	
卫生间装修效果图小户型	1.0	5.0	259.0	1.0	5.0	259.0	1.0	1.0	1.0	1.0	12.0	0.513890732873	3	0	0	0	0	1.0	1.0	0.857142857143	0.8849797023	6.0	0.136952880161	3	0	0	0	0	1.0	5.0	321.0	1.0	5.0	321.0	0.75	0.852040816327	0.25	0.545918367347	7.0	0.403586889301	3	0	0	0	0	1.0	1.0	0.333333333333	0.490084985836	2.0	0.0515271697141	2	0	0	0	0	0.0	0.0	-62.0	0.0	0.0	-62.0	0.25	0.147959183673	0.75	0.454081632653	5.0	0.110303843572	0	0	0	0	0	0.0	0.0	0.52380952381	0.394894716465	4.0	0.0854257104464	1	0	0	0	0	
qq音乐2015年度盛典	1.0	5.0	110.0	1.0	5.0	110.0	0.8	0.838951310861	0.6	0.634831460674	3.0	0.101503000432	3	1	0	0	0	0.8	0.869230769231	0.6	0.676923076923	6.0	0.183385759222	3	0	0	1	0	1.0	5.0	90.0	0.25	401.0	206.0	1.0	1.0	0.25	0.363957597173	4.0	0.144221008673	3	0	0	1	0	0.833333333333	0.894673123487	0.666666666667	0.783292978208	4.0	0.105538190623	4	0	0	0	0	0.0	0.0	20.0	0.75	-396.0	-96.0	-0.2	-0.161048689139	0.35	0.270873863501	-1.0	-0.0427180082417	0	1	0	-1	0	-0.0333333333333	-0.0254423542559	-0.0666666666667	-0.106369901285	2.0	0.0778475685993	-1	0	0	1	0	
自己怎样盘发简单好看	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	1.0	1.0	7.0	0.237444112328	3	0	0	0	1	0.833333333333	0.867394695788	0.833333333333	0.867394695788	5.0	0.13718979986	3	0	0	1	0	1.0	5.0	90.0	0.166666666667	605.0	140.0	1.0	1.0	0.0	0.0	0.0	0.0	3	0	0	1	1	0.8	0.869955156951	0.4	0.517189835575	5.0	0.149205055035	2	0	0	0	0	0.0	0.0	19.0	0.833333333333	-600.0	-31.0	0.0	0.0	1.0	1.0	7.0	0.237444112328	0	0	0	-1	0	0.0333333333333	-0.00256046116284	0.433333333333	0.350204860212	0.0	-0.012015255175	1	0	0	1	0	
述职述廉报告	0.333333333333	203.0	165.0	0	-1	0	0.2	0.326732673267	0.0	0.0	0.0	0.0	1	0	0	0	0	0.2	0.268817204301	0.0	0.0	0.0	0.0	1	0	0	0	0	0.166666666667	505.0	228.0	0.166666666667	505.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.6	0.749279538905	0.2	0.328530259366	1.0	0.0262090647105	3	0	0	1	0	0.166666666667	-302.0	-63.0	-0.166666666667	-506.0	-228.0	0.2	0.326732673267	0.0	0.0	0.0	0.0	1	0	0	0	0	-0.4	-0.480462334604	-0.2	-0.328530259366	-1.0	-0.0262090647105	-2	0	0	-1	0	
365新年快乐	0.25	287.0	109.0	0.25	287.0	109.0	0.4	0.533073929961	0.2	0.212062256809	1.0	0.0328171784821	2	0	0	1	0	0.6	0.636170212766	0.2	0.231914893617	1.0	0.0358894249782	3	0	0	1	0	0.5	105.0	202.0	0.2	519.0	118.0	0.4	0.550774526678	0.2	0.203098106713	1.0	0.0313065248005	2	0	0	1	0	0.8	0.851788756388	0.2	0.388415672913	1.0	0.0309865262506	3	0	0	1	0	-0.25	182.0	-93.0	0.05	-232.0	-9.0	0.0	-0.0177005967171	0.0	0.00896415009677	0.0	0.00151065368156	0	0	0	0	0	-0.2	-0.215618543622	0.0	-0.156500779296	0.0	0.00490289872767	0	0	0	0	0	
三国志刘备传修改器	1.0	5.0	189.0	1.0	5.0	189.0	1.0	1.0	1.0	1.0	4.0	0.137512237535	2	0	0	1	0	0.833333333333	0.870624048706	0.666666666667	0.697108066971	4.0	0.113651666638	3	0	0	0	0	1.0	5.0	231.0	1.0	5.0	231.0	1.0	1.0	0.25	0.414721723519	2.0	0.0608976660682	3	0	0	0	0	0.666666666667	0.758620689655	0.0	0.0	0.0	0.0	4	0	0	1	0	0.0	0.0	-42.0	0.0	0.0	-42.0	0.0	0.0	0.75	0.585278276481	2.0	0.0766145714666	-1	0	0	1	0	0.166666666667	0.112003359051	0.666666666667	0.697108066971	4.0	0.113651666638	-1	0	0	-1	0	
努比亚（nubia）小牛4+Z9mini	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	0.5	0.525305410122	5.0	0.186185017225	3	0	0	1	0	0.833333333333	0.835889570552	0.833333333333	0.835889570552	5.0	0.129356056287	1	0	0	0	0	1.0	5.0	90.0	0.166666666667	513.0	118.0	0.833333333333	0.846017699115	0.166666666667	0.208849557522	1.0	0.032193081255	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	1	0	0	0	0	0.0	0.0	19.0	0.833333333333	-508.0	-9.0	0.166666666667	0.153982300885	0.333333333333	0.3164558526	4.0	0.15399193597	2	0	0	1	0	-0.166666666667	-0.164110429448	0.833333333333	0.835889570552	5.0	0.129356056287	0	0	0	0	0	
菏泽公墓	1.0	5.0	203.0	1.0	5.0	203.0	0.4	0.550264550265	0.4	0.550264550265	2.0	0.177484707224	2	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1.0	5.0	230.0	1.0	5.0	230.0	0.5	0.647773279352	0.25	0.465587044534	1.0	0.139271255061	2	0	1	0	0	0.333333333333	0.477477477477	0.166666666667	0.342342342342	1.0	0.0273109473109	2	0	0	0	0	0.0	0.0	-27.0	0.0	0.0	-27.0	-0.1	-0.0975087290877	0.15	0.0846775057301	1.0	0.0382134521638	0	0	0	0	0	-0.333333333333	-0.477477477477	-0.166666666667	-0.342342342342	-1.0	-0.0273109473109	-2	0	0	0	0	
通用pe工具箱	1.0	5.0	104.0	1.0	5.0	104.0	1.0	1.0	1.0	1.0	4.0	0.100724158579	3	1	0	0	0	1.0	1.0	0.666666666667	0.711538461538	4.0	0.112453531599	4	0	0	1	0	0.5	105.0	231.0	0.5	105.0	231.0	0.5	0.667304015296	0.25	0.441682600382	2.0	0.0648565965583	2	0	0	0	0	1.0	1.0	0.166666666667	0.241153342071	1.0	0.0238389133802	4	0	0	1	0	0.5	-100.0	-127.0	0.5	-100.0	-127.0	0.5	0.332695984704	0.75	0.558317399618	2.0	0.0358675620206	1	1	0	0	0	0.0	0.0	0.5	0.470385119468	3.0	0.0886146182183	0	0	0	0	0	
深圳市格美奇科技有限公司	0.5	104.0	302.0	0	-1	0	0.25	0.542190305206	0.0	0.0	0.0	0.0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.5	85.0	283.0	0.333333333333	381.0	230.0	0.666666666667	0.884482758621	0.333333333333	0.396551724138	1.0	0.118620689655	2	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	19.0	19.0	-0.333333333333	-382.0	-230.0	-0.416666666667	-0.342292453414	-0.333333333333	-0.396551724138	-1.0	-0.118620689655	-1	0	-1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	
抛釉砖的缺点	1.0	5.0	129.0	1.0	5.0	129.0	0.75	0.843462246777	0.75	0.843462246777	3.0	0.106447726044	3	1	0	1	0	0.833333333333	0.879943502825	0.833333333333	0.879943502825	8.0	0.222158339109	2	0	0	0	0	1.0	5.0	162.0	0.25	471.0	228.0	0.75	0.867579908676	0.25	0.34703196347	1.0	0.0276850698769	3	0	0	1	1	0.5	0.578352180937	0.0	0.0	0.0	0.0	2	0	0	0	0	0.0	0.0	-33.0	0.75	-466.0	-99.0	0.0	-0.0241176618986	0.5	0.496430283307	2.0	0.0787626561667	0	1	0	0	-1	0.333333333333	0.301591321888	0.833333333333	0.879943502825	8.0	0.222158339109	0	0	0	0	0	
pdf打印机破解版+win7	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	0.8	0.785223367698	4.0	0.122114487921	3	0	0	1	0	0.8	0.838403041825	0.8	0.838403041825	4.0	0.128273990417	2	0	0	0	0	1.0	5.0	118.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	0	0	0.8	0.839186691312	0.0	0.0	0.0	0.0	4	0	0	1	0	0.0	0.0	-9.0	1.0	6.0	109.0	0.0	0.0	0.8	0.785223367698	4.0	0.122114487921	1	0	0	1	0	0.0	-0.000783649487289	0.8	0.838403041825	4.0	0.128273990417	-2	0	0	-1	0	
dmi指标详解	1.0	5.0	129.0	1.0	5.0	129.0	1.0	1.0	0.5	0.463035019455	2.0	0.0726353550403	3	1	0	0	0	0.333333333333	0.369337979094	0.166666666667	0.18118466899	1.0	0.0293868113933	2	0	0	0	0	1.0	5.0	112.0	0.166666666667	625.0	228.0	1.0	1.0	0.0	0.0	0.0	0.0	4	0	0	1	0	1.0	1.0	0.2	0.323863636364	1.0	0.0258367768595	4	0	0	1	1	0.0	0.0	17.0	0.833333333333	-620.0	-99.0	0.0	0.0	0.5	0.463035019455	2.0	0.0726353550403	-1	1	0	-1	0	-0.666666666667	-0.630662020906	-0.0333333333333	-0.142678967374	0.0	0.00355003453384	-2	0	0	-1	-1	
地震中的父与子小练笔	1.0	5.0	251.0	0.2	629.0	111.0	0.75	0.850352112676	0.0	0.0	0.0	0.0	2	0	0	1	0	0.333333333333	0.388489208633	0.166666666667	0.19964028777	1.0	0.0303381829852	2	0	0	1	0	0.5	105.0	134.0	0	-1	0	0.75	0.829745596869	0.0	0.0	0.0	0.0	2	0	0	1	0	0.666666666667	0.738738738739	0.0	0.0	0.0	0.0	2	0	0	1	0	0.5	-100.0	117.0	0.2	630.0	111.0	0.0	0.0206065158072	0.0	0.0	0.0	0.0	0	0	0	0	0	-0.333333333333	-0.350249530106	0.166666666667	0.19964028777	1.0	0.0303381829852	0	0	0	0	0	
电脑壁纸高清	1.0	5.0	492.0	1.0	5.0	492.0	1.0	1.0	1.0	1.0	10.0	0.588866919488	2	0	0	0	0	0.75	0.791154791155	0.75	0.791154791155	6.0	0.124334371546	1	0	0	0	0	1.0	5.0	103.0	0.5	120.0	275.0	1.0	1.0	0.5	0.676174496644	6.0	0.201333129957	2	0	0	0	0	0.666666666667	0.768	0.5	0.648	3.0	0.0652896969697	3	0	0	0	0	0.0	0.0	389.0	0.5	-115.0	217.0	0.0	0.0	0.5	0.323825503356	4.0	0.387533789531	0	0	0	0	0	0.0833333333333	0.0231547911548	0.25	0.143154791155	3.0	0.0590446745766	-2	0	0	0	0	
叠像术	1.0	5.0	108.0	0	-1	0	0.75	0.849823321555	0.0	0.0	0.0	0.0	2	0	0	0	0	0.166666666667	0.204119850187	0.0	0.0	0.0	0.0	1	1	0	0	0	1.0	5.0	134.0	0	-1	0	0.8	0.830409356725	0.0	0.0	0.0	0.0	2	0	0	1	0	0.4	0.506616257089	0.0	0.0	0.0	0.0	2	0	0	1	0	0.0	0.0	-26.0	0	0	0	-0.05	0.0194139648296	0.0	0.0	0.0	0.0	0	0	0	-1	0	-0.233333333333	-0.302496406902	0.0	0.0	0.0	0.0	-1	1	0	-1	0	
html文档的基本结构	1.0	5.0	299.0	0.111111111111	1134.0	109.0	0.666666666667	0.839319470699	0.0	0.0	0.0	0.0	2	0	0	1	0	0.285714285714	0.376832844575	0.142857142857	0.159824046921	1.0	0.0247331814366	2	0	0	0	0	1.0	5.0	162.0	0.166666666667	859.0	228.0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	1	1.0	1.0	0.142857142857	0.231707317073	1.0	0.0184848484848	4	0	0	1	0	0.0	0.0	137.0	-0.0555555555556	275.0	-119.0	-0.333333333333	-0.160680529301	0.0	0.0	0.0	0.0	0	0	0	0	-1	-0.714285714286	-0.623167155425	0.0	-0.0718832701523	0.0	0.00624833295177	-2	0	0	-1	0	
