query	baidu_reciprocal_of_the_rank_of_the_first_vertical_result	baidu_position_y_of_the_first_vertical_result	baidu_height_of_the_first_vertical_result	baidu_reciprocal_of_the_rank_of_the_first_result_with_image	baidu_position_y_of_the_first_result_with_image	baidu_height_of_the_first_result_with_image	baidu_fraction_of_vertical_results_first_screen	baidu_area_fraction_of_vertical_result_first_screen	baidu_fraction_of_results_with_images_first_screen	baidu_area_fraction_of_results_with_images_first_screen	baidu_number_of_images_first_screen	baidu_area_fraction_of_images_first_screen	baidu_number_of_vertical_types_first_screen	baidu_had_encyclopedia_first_screen	baidu_had_gps_map_first_screen	baidu_had_forum_first_screen	baidu_had_experience_first_screen	baidu_fraction_of_vertical_results_other_screens	baidu_area_fraction_of_vertical_result_other_screens	baidu_fraction_of_results_with_images_other_screens	baidu_area_fraction_of_results_with_images_other_screens	baidu_number_of_images_other_screens	baidu_area_fraction_of_images_other_screens	baidu_number_of_vertical_types_other_screens	baidu_had_encyclopedia_other_screens	baidu_had_gps_map_other_screens	baidu_had_forum_other_screens	baidu_had_experience_other_screens	sogou_reciprocal_of_the_rank_of_the_first_vertical_result	sogou_position_y_of_the_first_vertical_result	sogou_height_of_the_first_vertical_result	sogou_reciprocal_of_the_rank_of_the_first_result_with_image	sogou_position_y_of_the_first_result_with_image	sogou_height_of_the_first_result_with_image	sogou_fraction_of_vertical_results_first_screen	sogou_area_fraction_of_vertical_result_first_screen	sogou_fraction_of_results_with_images_first_screen	sogou_area_fraction_of_results_with_images_first_screen	sogou_number_of_images_first_screen	sogou_area_fraction_of_images_first_screen	sogou_number_of_vertical_types_first_screen	sogou_had_encyclopedia_first_screen	sogou_had_gps_map_first_screen	sogou_had_forum_first_screen	sogou_had_experience_first_screen	sogou_fraction_of_vertical_results_other_screens	sogou_area_fraction_of_vertical_result_other_screens	sogou_fraction_of_results_with_images_other_screens	sogou_area_fraction_of_results_with_images_other_screens	sogou_number_of_images_other_screens	sogou_area_fraction_of_images_other_screens	sogou_number_of_vertical_types_other_screens	sogou_had_encyclopedia_other_screens	sogou_had_gps_map_other_screens	sogou_had_forum_other_screens	sogou_had_experience_other_screens	delta_reciprocal_of_the_rank_of_the_first_vertical_result	delta_position_y_of_the_first_vertical_result	delta_height_of_the_first_vertical_result	delta_reciprocal_of_the_rank_of_the_first_result_with_image	delta_position_y_of_the_first_result_with_image	delta_height_of_the_first_result_with_image	delta_fraction_of_vertical_results_first_screen	delta_area_fraction_of_vertical_result_first_screen	delta_fraction_of_results_with_images_first_screen	delta_area_fraction_of_results_with_images_first_screen	delta_number_of_images_first_screen	delta_area_fraction_of_images_first_screen	delta_number_of_vertical_types_first_screen	delta_had_encyclopedia_first_screen	delta_had_gps_map_first_screen	delta_had_forum_first_screen	delta_had_experience_first_screen	delta_fraction_of_vertical_results_other_screens	delta_area_fraction_of_vertical_result_other_screens	delta_fraction_of_results_with_images_other_screens	delta_area_fraction_of_results_with_images_other_screens	delta_number_of_images_other_screens	delta_area_fraction_of_images_other_screens	delta_number_of_vertical_types_other_screens	delta_had_encyclopedia_other_screens	delta_had_gps_map_other_screens	delta_had_forum_other_screens	delta_had_experience_other_screens	
梦幻西游手游地府宝石	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	0.75	0.661190965092	3.0	0.103909834126	2	0	0	1	0	0.833333333333	0.854948805461	0.5	0.558020477816	3.0	0.0863551010569	3	0	0	0	0	1.0	5.0	230.0	0.5	247.0	118.0	1.0	1.0	0.75	0.606164383562	3.0	0.0934371108344	2	0	0	1	0	0.833333333333	0.876244665718	0.333333333333	0.492176386913	2.0	0.0517470580628	2	0	0	0	0	0.0	0.0	-121.0	0.5	-242.0	-9.0	0.0	0.0	0.0	0.0550265815308	0.0	0.0104727232916	0	0	0	0	0	0.0	-0.0212958602576	0.166666666667	0.0658440909025	1.0	0.034608042994	1	0	0	0	0	
冰川时代3	1.0	5.0	209.0	1.0	5.0	209.0	1.0	1.0	1.0	1.0	3.0	0.173892640578	3	1	0	0	0	1.0	1.0	0.857142857143	0.849397590361	6.0	0.134944237918	4	0	0	1	0	1.0	5.0	244.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0.0	0.0	-35.0	1.0	6.0	209.0	0.0	0.0	1.0	1.0	3.0	0.173892640578	1	1	0	0	0	0.0	0.0	0.857142857143	0.849397590361	6.0	0.134944237918	1	0	0	1	0	
李钟硕穿的鞋子	1.0	5.0	109.0	1.0	5.0	109.0	0.6	0.692585895118	0.4	0.394213381555	2.0	0.0610055325128	2	0	0	1	0	1.0	1.0	1.0	1.0	8.0	0.249663657284	2	0	0	0	0	1.0	5.0	202.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	0	0.0	0.0	-93.0	1.0	6.0	109.0	-0.4	-0.307414104882	0.4	0.394213381555	2.0	0.0610055325128	0	0	0	0	0	0.0	0.0	1.0	1.0	8.0	0.249663657284	0	0	0	-1	0	
give+it+up攻略	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	1.0	1.0	5.0	0.157879105404	2	0	0	0	0	0.8	0.837164750958	0.8	0.837164750958	4.0	0.129256932872	1	0	0	0	0	1.0	5.0	90.0	0	-1	0	0.8	0.837988826816	0.0	0.0	0.0	0.0	2	0	0	1	0	0.4	0.491228070175	0.0	0.0	0.0	0.0	2	0	0	1	0	0.0	0.0	19.0	1.0	6.0	109.0	0.2	0.162011173184	1.0	1.0	5.0	0.157879105404	0	0	0	-1	0	0.4	0.345936680782	0.8	0.837164750958	4.0	0.129256932872	-1	0	0	-1	0	
怎么贴双眼皮贴	1.0	5.0	243.0	1.0	5.0	243.0	1.0	1.0	1.0	1.0	8.0	0.340971595626	3	0	0	0	1	1.0	1.0	0.857142857143	0.896391152503	9.0	0.211121257103	3	1	0	0	0	1.0	5.0	90.0	0.333333333333	209.0	162.0	1.0	1.0	0.25	0.324	1.0	0.0541236363636	3	0	0	1	1	1.0	1.0	0.333333333333	0.46170212766	5.0	0.106189555126	4	0	0	1	0	0.0	0.0	153.0	0.666666666667	-204.0	81.0	0.0	0.0	0.75	0.676	7.0	0.286847959262	0	0	0	-1	0	0.0	0.0	0.52380952381	0.434689024843	4.0	0.104931701977	-1	1	0	-1	0	
海藻面膜	1.0	5.0	150.0	1.0	5.0	150.0	1.0	1.0	0.75	0.68537414966	5.0	0.173169081759	4	1	0	1	0	1.0	1.0	1.0	1.0	6.0	0.160010215954	2	0	0	0	0	1.0	5.0	228.0	1.0	5.0	228.0	1.0	1.0	0.666666666667	0.712255772647	5.0	0.198966575166	2	0	0	0	1	1.0	1.0	0.0	0.0	0.0	0.0	5	0	0	1	1	0.0	0.0	-78.0	0.0	0.0	-78.0	0.0	0.0	0.0833333333333	-0.0268816229867	0.0	-0.0257974934064	2	1	0	1	-1	0.0	0.0	1.0	1.0	6.0	0.160010215954	-3	0	0	-1	-1	
武媚娘传奇台湾版	1.0	5.0	342.0	1.0	5.0	342.0	1.0	1.0	0.666666666667	0.733009708738	2.0	0.0858868396675	3	0	0	1	0	1.0	1.0	1.0	1.0	7.0	0.153629698472	3	0	0	0	0	1.0	5.0	90.0	0.25	311.0	206.0	1.0	1.0	0.2	0.346801346801	4.0	0.137422711968	3	0	0	0	0	1.0	1.0	0.2	0.31105047749	1.0	0.024814585142	5	0	0	1	0	0.0	0.0	252.0	0.75	-306.0	136.0	0.0	0.0	0.466666666667	0.386208361937	-2.0	-0.0515358723007	0	0	0	1	0	0.0	0.0	0.8	0.68894952251	6.0	0.12881511333	-2	0	0	-1	0	
怎么把电脑上的视频传到苹果手机上	1.0	5.0	376.0	0.5	395.0	261.0	1.0	1.0	0.5	0.409733124019	4.0	0.129930611078	2	0	0	1	1	0.75	0.802469135802	0.625	0.651234567901	10.0	0.161296984717	2	0	0	0	0	1.0	5.0	90.0	0.2	569.0	118.0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	1	0.5	0.514680483592	0.166666666667	0.203799654577	1.0	0.0314146647825	2	0	0	0	1	0.0	0.0	286.0	0.3	-174.0	143.0	0.0	0.0	0.5	0.409733124019	4.0	0.129930611078	0	0	0	0	0	0.25	0.28778865221	0.458333333333	0.447434913324	9.0	0.129882319935	0	0	0	0	-1	
广电局封杀动漫	1.0	5.0	145.0	0.5	164.0	149.0	0.75	0.804029304029	0.25	0.272893772894	1.0	0.0308938273622	2	0	0	1	0	0.333333333333	0.369565217391	0.333333333333	0.369565217391	2.0	0.0523851855273	2	0	0	1	0	1.0	5.0	180.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	0	0.833333333333	0.856198347107	0.0	0.0	0.0	0.0	2	0	0	1	0	0.0	0.0	-35.0	0.5	165.0	149.0	-0.25	-0.195970695971	0.25	0.272893772894	1.0	0.0308938273622	0	0	0	0	0	-0.5	-0.486633129716	0.333333333333	0.369565217391	2.0	0.0523851855273	0	0	0	0	0	
十一运夺金追号计算器	0.25	304.0	111.0	0.25	304.0	111.0	0.166666666667	0.205936920223	0.166666666667	0.205936920223	1.0	0.0312950458994	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	0	0	0.5	105.0	112.0	0	-1	0	0.5	0.528028933092	0.0	0.0	0.0	0.0	2	0	0	0	0	0.5	0.508474576271	0.0	0.0	0.0	0.0	1	0	0	0	0	-0.25	199.0	-1.0	0.25	305.0	111.0	-0.333333333333	-0.32209201287	0.166666666667	0.205936920223	1.0	0.0312950458994	-1	0	0	0	0	0.5	0.491525423729	0.0	0.0	0.0	0.0	1	0	0	0	0	
炸馓子的做法	1.0	5.0	129.0	1.0	5.0	129.0	1.0	1.0	1.0	1.0	9.0	0.306632855683	3	0	0	0	1	0.857142857143	0.886666666667	0.714285714286	0.768	5.0	0.117251548947	3	0	0	0	0	1.0	5.0	223.0	1.0	5.0	223.0	1.0	1.0	0.666666666667	0.778217821782	5.0	0.167690369037	3	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	3	0	0	1	1	0.0	0.0	-94.0	0.0	0.0	-94.0	0.0	0.0	0.333333333333	0.221782178218	4.0	0.138942486646	0	0	0	0	1	-0.142857142857	-0.113333333333	0.714285714286	0.768	5.0	0.117251548947	0	0	0	-1	-1	
压强教学设计+一等奖	1.0	5.0	125.0	0	-1	0	0.333333333333	0.381818181818	0.0	0.0	0.0	0.0	1	0	0	0	0	0.25	0.25	0.0	0.0	0.0	0.0	1	0	0	0	0	1.0	5.0	178.0	0	-1	0	0.8	0.855241264559	0.0	0.0	0.0	0.0	2	0	0	0	0	0.6	0.62660944206	0.0	0.0	0.0	0.0	1	0	0	0	0	0.0	0.0	-53.0	0	0	0	-0.466666666667	-0.473423082741	0.0	0.0	0.0	0.0	-1	0	0	0	0	-0.35	-0.37660944206	0.0	0.0	0.0	0.0	0	0	0	0	0	
收针方法	1.0	5.0	210.0	1.0	5.0	210.0	1.0	1.0	1.0	1.0	9.0	0.329356784717	2	0	0	0	1	1.0	1.0	0.714285714286	0.663182346109	5.0	0.106314953219	5	0	0	1	0	1.0	5.0	92.0	0.111111111111	924.0	228.0	0.8	0.844919786096	0.0	0.0	0.0	0.0	3	0	0	1	1	1.0	1.0	0.2	0.38255033557	1.0	0.0305186089079	3	0	0	0	0	0.0	0.0	118.0	0.888888888889	-919.0	-18.0	0.2	0.155080213904	1.0	1.0	9.0	0.329356784717	-1	0	0	-1	0	0.0	0.0	0.514285714286	0.280632010539	4.0	0.0757963443107	2	0	0	1	0	
hypersnap破解版	1.0	5.0	120.0	1.0	5.0	120.0	0.8	0.813913043478	0.6	0.615652173913	3.0	0.100523678681	1	0	0	0	0	0.8	0.844322344322	0.8	0.844322344322	4.0	0.123575309449	2	0	0	0	0	1.0	5.0	118.0	0.25	433.0	231.0	1.0	1.0	0.25	0.370786516854	2.0	0.0544462279294	3	0	0	1	0	1.0	1.0	0.0	0.0	0.0	0.0	4	0	0	1	0	0.0	0.0	2.0	0.75	-428.0	-111.0	-0.2	-0.186086956522	0.35	0.244865657059	1.0	0.0460774507517	-2	0	0	-1	0	-0.2	-0.155677655678	0.8	0.844322344322	4.0	0.123575309449	-2	0	0	-1	0	
战龙三国坐骑进阶数据	1.0	5.0	109.0	1.0	5.0	109.0	0.333333333333	0.390681003584	0.333333333333	0.390681003584	2.0	0.0604588879562	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1.0	5.0	90.0	0.1	1077.0	216.0	0.75	0.832369942197	0.0	0.0	0.0	0.0	3	0	0	1	1	0.5	0.602739726027	0.166666666667	0.328767123288	4.0	0.124245191642	2	0	0	0	1	0.0	0.0	19.0	0.9	-1072.0	-107.0	-0.416666666667	-0.441688938612	0.333333333333	0.390681003584	2.0	0.0604588879562	-2	0	0	-1	-1	-0.5	-0.602739726027	-0.166666666667	-0.328767123288	-4.0	-0.124245191642	-2	0	0	0	-1	
北京万科蓝山咖啡厅	1.0	5.0	129.0	1.0	5.0	129.0	0.8	0.841417910448	0.8	0.841417910448	4.0	0.132594462631	2	1	0	0	0	0.8	0.84022556391	0.8	0.84022556391	4.0	0.133591413478	2	0	0	0	0	1.0	5.0	113.0	0	-1	0	0.6	0.659491193738	0.0	0.0	0.0	0.0	3	0	0	1	0	0.4	0.436285097192	0.0	0.0	0.0	0.0	2	0	0	0	0	0.0	0.0	16.0	1.0	6.0	129.0	0.2	0.18192671671	0.8	0.841417910448	4.0	0.132594462631	-1	1	0	-1	0	0.4	0.403940466718	0.8	0.84022556391	4.0	0.133591413478	0	0	0	0	0	
