@relation output_baidu_sogou

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute baidu_rank_by_type_1 numeric
@attribute baidu_position_y_1 numeric
@attribute baidu_height_1 numeric
@attribute baidu_distance_by_type_1 numeric
@attribute baidu_title_char_length_1 numeric
@attribute baidu_title_word_length_1 numeric
@attribute baidu_title_matches_1 numeric
@attribute baidu_snippet_char_length_1 numeric
@attribute baidu_snippet_word_length_1 numeric
@attribute baidu_snippet_matches_1 numeric
@attribute baidu_vertical_type_1 {encyclopedia,image_text,organic,video,reading,download,forum,others,image,experience,news,gps_map}
@attribute baidu_images_number_1 numeric
@attribute baidu_images_area_fraction_1 numeric
@attribute baidu_is_vertical_1 numeric
@attribute baidu_is_identical_url_1 numeric
@attribute baidu_had_image_1 numeric
@attribute baidu_rank_by_type_2 numeric
@attribute baidu_position_y_2 numeric
@attribute baidu_height_2 numeric
@attribute baidu_distance_by_type_2 numeric
@attribute baidu_title_char_length_2 numeric
@attribute baidu_title_word_length_2 numeric
@attribute baidu_title_matches_2 numeric
@attribute baidu_snippet_char_length_2 numeric
@attribute baidu_snippet_word_length_2 numeric
@attribute baidu_snippet_matches_2 numeric
@attribute baidu_vertical_type_2 {others,download,organic,encyclopedia,video,reading,image_text,forum,experience,image,news}
@attribute baidu_images_number_2 numeric
@attribute baidu_images_area_fraction_2 numeric
@attribute baidu_is_vertical_2 numeric
@attribute baidu_is_identical_url_2 numeric
@attribute baidu_had_image_2 numeric
@attribute baidu_rank_by_type_3 numeric
@attribute baidu_position_y_3 numeric
@attribute baidu_height_3 numeric
@attribute baidu_distance_by_type_3 numeric
@attribute baidu_title_char_length_3 numeric
@attribute baidu_title_word_length_3 numeric
@attribute baidu_title_matches_3 numeric
@attribute baidu_snippet_char_length_3 numeric
@attribute baidu_snippet_word_length_3 numeric
@attribute baidu_snippet_matches_3 numeric
@attribute baidu_vertical_type_3 {forum,organic,video,others,image_text,download,reading,encyclopedia,image,experience,news}
@attribute baidu_images_number_3 numeric
@attribute baidu_images_area_fraction_3 numeric
@attribute baidu_is_vertical_3 numeric
@attribute baidu_is_identical_url_3 numeric
@attribute baidu_had_image_3 numeric
@attribute baidu_rank_by_type_4 numeric
@attribute baidu_position_y_4 numeric
@attribute baidu_height_4 numeric
@attribute baidu_distance_by_type_4 numeric
@attribute baidu_title_char_length_4 numeric
@attribute baidu_title_word_length_4 numeric
@attribute baidu_title_matches_4 numeric
@attribute baidu_snippet_char_length_4 numeric
@attribute baidu_snippet_word_length_4 numeric
@attribute baidu_snippet_matches_4 numeric
@attribute baidu_vertical_type_4 {others,image_text,forum,video,organic,encyclopedia,download,reading,news,image,experience,gps_map}
@attribute baidu_images_number_4 numeric
@attribute baidu_images_area_fraction_4 numeric
@attribute baidu_is_vertical_4 numeric
@attribute baidu_is_identical_url_4 numeric
@attribute baidu_had_image_4 numeric
@attribute baidu_rank_by_type_5 numeric
@attribute baidu_position_y_5 numeric
@attribute baidu_height_5 numeric
@attribute baidu_distance_by_type_5 numeric
@attribute baidu_title_char_length_5 numeric
@attribute baidu_title_word_length_5 numeric
@attribute baidu_title_matches_5 numeric
@attribute baidu_snippet_char_length_5 numeric
@attribute baidu_snippet_word_length_5 numeric
@attribute baidu_snippet_matches_5 numeric
@attribute baidu_vertical_type_5 {others,image_text,forum,video,organic,download,reading,encyclopedia,gps_map,news,experience,image}
@attribute baidu_images_number_5 numeric
@attribute baidu_images_area_fraction_5 numeric
@attribute baidu_is_vertical_5 numeric
@attribute baidu_is_identical_url_5 numeric
@attribute baidu_had_image_5 numeric
@attribute baidu_rank_by_type_6 numeric
@attribute baidu_position_y_6 numeric
@attribute baidu_height_6 numeric
@attribute baidu_distance_by_type_6 numeric
@attribute baidu_title_char_length_6 numeric
@attribute baidu_title_word_length_6 numeric
@attribute baidu_title_matches_6 numeric
@attribute baidu_snippet_char_length_6 numeric
@attribute baidu_snippet_word_length_6 numeric
@attribute baidu_snippet_matches_6 numeric
@attribute baidu_vertical_type_6 {image_text,forum,organic,reading,others,gps_map,video,experience,image,download,encyclopedia}
@attribute baidu_images_number_6 numeric
@attribute baidu_images_area_fraction_6 numeric
@attribute baidu_is_vertical_6 numeric
@attribute baidu_is_identical_url_6 numeric
@attribute baidu_had_image_6 numeric
@attribute baidu_rank_by_type_7 numeric
@attribute baidu_position_y_7 numeric
@attribute baidu_height_7 numeric
@attribute baidu_distance_by_type_7 numeric
@attribute baidu_title_char_length_7 numeric
@attribute baidu_title_word_length_7 numeric
@attribute baidu_title_matches_7 numeric
@attribute baidu_snippet_char_length_7 numeric
@attribute baidu_snippet_word_length_7 numeric
@attribute baidu_snippet_matches_7 numeric
@attribute baidu_vertical_type_7 {organic,others,video,forum,download,image_text,encyclopedia,reading,experience,news,image}
@attribute baidu_images_number_7 numeric
@attribute baidu_images_area_fraction_7 numeric
@attribute baidu_is_vertical_7 numeric
@attribute baidu_is_identical_url_7 numeric
@attribute baidu_had_image_7 numeric
@attribute baidu_rank_by_type_8 numeric
@attribute baidu_position_y_8 numeric
@attribute baidu_height_8 numeric
@attribute baidu_distance_by_type_8 numeric
@attribute baidu_title_char_length_8 numeric
@attribute baidu_title_word_length_8 numeric
@attribute baidu_title_matches_8 numeric
@attribute baidu_snippet_char_length_8 numeric
@attribute baidu_snippet_word_length_8 numeric
@attribute baidu_snippet_matches_8 numeric
@attribute baidu_vertical_type_8 {forum,image_text,video,reading,organic,others,experience,download,encyclopedia,news}
@attribute baidu_images_number_8 numeric
@attribute baidu_images_area_fraction_8 numeric
@attribute baidu_is_vertical_8 numeric
@attribute baidu_is_identical_url_8 numeric
@attribute baidu_had_image_8 numeric
@attribute baidu_rank_by_type_9 numeric
@attribute baidu_position_y_9 numeric
@attribute baidu_height_9 numeric
@attribute baidu_distance_by_type_9 numeric
@attribute baidu_title_char_length_9 numeric
@attribute baidu_title_word_length_9 numeric
@attribute baidu_title_matches_9 numeric
@attribute baidu_snippet_char_length_9 numeric
@attribute baidu_snippet_word_length_9 numeric
@attribute baidu_snippet_matches_9 numeric
@attribute baidu_vertical_type_9 {organic,image_text,others,reading,download,forum,video,encyclopedia,news,experience,gps_map}
@attribute baidu_images_number_9 numeric
@attribute baidu_images_area_fraction_9 numeric
@attribute baidu_is_vertical_9 numeric
@attribute baidu_is_identical_url_9 numeric
@attribute baidu_had_image_9 numeric
@attribute baidu_rank_by_type_10 numeric
@attribute baidu_position_y_10 numeric
@attribute baidu_height_10 numeric
@attribute baidu_distance_by_type_10 numeric
@attribute baidu_title_char_length_10 numeric
@attribute baidu_title_word_length_10 numeric
@attribute baidu_title_matches_10 numeric
@attribute baidu_snippet_char_length_10 numeric
@attribute baidu_snippet_word_length_10 numeric
@attribute baidu_snippet_matches_10 numeric
@attribute baidu_vertical_type_10 {news,organic,image_text,others,forum,reading,video,download,encyclopedia,experience,image,gps_map}
@attribute baidu_images_number_10 numeric
@attribute baidu_images_area_fraction_10 numeric
@attribute baidu_is_vertical_10 numeric
@attribute baidu_is_identical_url_10 numeric
@attribute baidu_had_image_10 numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute sogou_rank_by_type_1 numeric
@attribute sogou_position_y_1 numeric
@attribute sogou_height_1 numeric
@attribute sogou_distance_by_type_1 numeric
@attribute sogou_title_char_length_1 numeric
@attribute sogou_title_word_length_1 numeric
@attribute sogou_title_matches_1 numeric
@attribute sogou_snippet_char_length_1 numeric
@attribute sogou_snippet_word_length_1 numeric
@attribute sogou_snippet_matches_1 numeric
@attribute sogou_vertical_type_1 {image_text,download,others,video,reading,organic,forum,experience,encyclopedia,news,gps_map}
@attribute sogou_images_number_1 numeric
@attribute sogou_images_area_fraction_1 numeric
@attribute sogou_is_vertical_1 numeric
@attribute sogou_is_identical_url_1 numeric
@attribute sogou_had_image_1 numeric
@attribute sogou_rank_by_type_2 numeric
@attribute sogou_position_y_2 numeric
@attribute sogou_height_2 numeric
@attribute sogou_distance_by_type_2 numeric
@attribute sogou_title_char_length_2 numeric
@attribute sogou_title_word_length_2 numeric
@attribute sogou_title_matches_2 numeric
@attribute sogou_snippet_char_length_2 numeric
@attribute sogou_snippet_word_length_2 numeric
@attribute sogou_snippet_matches_2 numeric
@attribute sogou_vertical_type_2 {others,image_text,forum,video,organic,experience,gps_map,reading,download,encyclopedia,news}
@attribute sogou_images_number_2 numeric
@attribute sogou_images_area_fraction_2 numeric
@attribute sogou_is_vertical_2 numeric
@attribute sogou_is_identical_url_2 numeric
@attribute sogou_had_image_2 numeric
@attribute sogou_rank_by_type_3 numeric
@attribute sogou_position_y_3 numeric
@attribute sogou_height_3 numeric
@attribute sogou_distance_by_type_3 numeric
@attribute sogou_title_char_length_3 numeric
@attribute sogou_title_word_length_3 numeric
@attribute sogou_title_matches_3 numeric
@attribute sogou_snippet_char_length_3 numeric
@attribute sogou_snippet_word_length_3 numeric
@attribute sogou_snippet_matches_3 numeric
@attribute sogou_vertical_type_3 {image_text,organic,forum,others,download,news,experience,reading,video,gps_map,encyclopedia}
@attribute sogou_images_number_3 numeric
@attribute sogou_images_area_fraction_3 numeric
@attribute sogou_is_vertical_3 numeric
@attribute sogou_is_identical_url_3 numeric
@attribute sogou_had_image_3 numeric
@attribute sogou_rank_by_type_4 numeric
@attribute sogou_position_y_4 numeric
@attribute sogou_height_4 numeric
@attribute sogou_distance_by_type_4 numeric
@attribute sogou_title_char_length_4 numeric
@attribute sogou_title_word_length_4 numeric
@attribute sogou_title_matches_4 numeric
@attribute sogou_snippet_char_length_4 numeric
@attribute sogou_snippet_word_length_4 numeric
@attribute sogou_snippet_matches_4 numeric
@attribute sogou_vertical_type_4 {image_text,organic,forum,video,download,reading,experience,others,news,encyclopedia,gps_map,image}
@attribute sogou_images_number_4 numeric
@attribute sogou_images_area_fraction_4 numeric
@attribute sogou_is_vertical_4 numeric
@attribute sogou_is_identical_url_4 numeric
@attribute sogou_had_image_4 numeric
@attribute sogou_rank_by_type_5 numeric
@attribute sogou_position_y_5 numeric
@attribute sogou_height_5 numeric
@attribute sogou_distance_by_type_5 numeric
@attribute sogou_title_char_length_5 numeric
@attribute sogou_title_word_length_5 numeric
@attribute sogou_title_matches_5 numeric
@attribute sogou_snippet_char_length_5 numeric
@attribute sogou_snippet_word_length_5 numeric
@attribute sogou_snippet_matches_5 numeric
@attribute sogou_vertical_type_5 {news,forum,others,video,image_text,download,organic,reading,experience,encyclopedia,gps_map}
@attribute sogou_images_number_5 numeric
@attribute sogou_images_area_fraction_5 numeric
@attribute sogou_is_vertical_5 numeric
@attribute sogou_is_identical_url_5 numeric
@attribute sogou_had_image_5 numeric
@attribute sogou_rank_by_type_6 numeric
@attribute sogou_position_y_6 numeric
@attribute sogou_height_6 numeric
@attribute sogou_distance_by_type_6 numeric
@attribute sogou_title_char_length_6 numeric
@attribute sogou_title_word_length_6 numeric
@attribute sogou_title_matches_6 numeric
@attribute sogou_snippet_char_length_6 numeric
@attribute sogou_snippet_word_length_6 numeric
@attribute sogou_snippet_matches_6 numeric
@attribute sogou_vertical_type_6 {image_text,forum,news,organic,download,others,encyclopedia,video,experience,reading,gps_map,image}
@attribute sogou_images_number_6 numeric
@attribute sogou_images_area_fraction_6 numeric
@attribute sogou_is_vertical_6 numeric
@attribute sogou_is_identical_url_6 numeric
@attribute sogou_had_image_6 numeric
@attribute sogou_rank_by_type_7 numeric
@attribute sogou_position_y_7 numeric
@attribute sogou_height_7 numeric
@attribute sogou_distance_by_type_7 numeric
@attribute sogou_title_char_length_7 numeric
@attribute sogou_title_word_length_7 numeric
@attribute sogou_title_matches_7 numeric
@attribute sogou_snippet_char_length_7 numeric
@attribute sogou_snippet_word_length_7 numeric
@attribute sogou_snippet_matches_7 numeric
@attribute sogou_vertical_type_7 {organic,others,video,download,image_text,news,forum,experience,reading,encyclopedia}
@attribute sogou_images_number_7 numeric
@attribute sogou_images_area_fraction_7 numeric
@attribute sogou_is_vertical_7 numeric
@attribute sogou_is_identical_url_7 numeric
@attribute sogou_had_image_7 numeric
@attribute sogou_rank_by_type_8 numeric
@attribute sogou_position_y_8 numeric
@attribute sogou_height_8 numeric
@attribute sogou_distance_by_type_8 numeric
@attribute sogou_title_char_length_8 numeric
@attribute sogou_title_word_length_8 numeric
@attribute sogou_title_matches_8 numeric
@attribute sogou_snippet_char_length_8 numeric
@attribute sogou_snippet_word_length_8 numeric
@attribute sogou_snippet_matches_8 numeric
@attribute sogou_vertical_type_8 {organic,image_text,others,forum,download,news,video,reading,experience,encyclopedia,image}
@attribute sogou_images_number_8 numeric
@attribute sogou_images_area_fraction_8 numeric
@attribute sogou_is_vertical_8 numeric
@attribute sogou_is_identical_url_8 numeric
@attribute sogou_had_image_8 numeric
@attribute sogou_rank_by_type_9 numeric
@attribute sogou_position_y_9 numeric
@attribute sogou_height_9 numeric
@attribute sogou_distance_by_type_9 numeric
@attribute sogou_title_char_length_9 numeric
@attribute sogou_title_word_length_9 numeric
@attribute sogou_title_matches_9 numeric
@attribute sogou_snippet_char_length_9 numeric
@attribute sogou_snippet_word_length_9 numeric
@attribute sogou_snippet_matches_9 numeric
@attribute sogou_vertical_type_9 {forum,organic,video,others,image_text,download,reading,news,encyclopedia,experience}
@attribute sogou_images_number_9 numeric
@attribute sogou_images_area_fraction_9 numeric
@attribute sogou_is_vertical_9 numeric
@attribute sogou_is_identical_url_9 numeric
@attribute sogou_had_image_9 numeric
@attribute sogou_rank_by_type_10 numeric
@attribute sogou_position_y_10 numeric
@attribute sogou_height_10 numeric
@attribute sogou_distance_by_type_10 numeric
@attribute sogou_title_char_length_10 numeric
@attribute sogou_title_word_length_10 numeric
@attribute sogou_title_matches_10 numeric
@attribute sogou_snippet_char_length_10 numeric
@attribute sogou_snippet_word_length_10 numeric
@attribute sogou_snippet_matches_10 numeric
@attribute sogou_vertical_type_10 {image_text,organic,forum,video,reading,encyclopedia,others,news,download,experience}
@attribute sogou_images_number_10 numeric
@attribute sogou_images_area_fraction_10 numeric
@attribute sogou_is_vertical_10 numeric
@attribute sogou_is_identical_url_10 numeric
@attribute sogou_had_image_10 numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute delta_position_y_1 numeric
@attribute delta_height_1 numeric
@attribute delta_title_char_length_1 numeric
@attribute delta_title_word_length_1 numeric
@attribute delta_title_matches_1 numeric
@attribute delta_snippet_char_length_1 numeric
@attribute delta_snippet_word_length_1 numeric
@attribute delta_snippet_matches_1 numeric
@attribute delta_images_number_1 numeric
@attribute delta_images_area_fraction_1 numeric
@attribute delta_is_vertical_1 numeric
@attribute delta_is_identical_url_1 numeric
@attribute delta_had_image_1 numeric
@attribute delta_position_y_2 numeric
@attribute delta_height_2 numeric
@attribute delta_title_char_length_2 numeric
@attribute delta_title_word_length_2 numeric
@attribute delta_title_matches_2 numeric
@attribute delta_snippet_char_length_2 numeric
@attribute delta_snippet_word_length_2 numeric
@attribute delta_snippet_matches_2 numeric
@attribute delta_images_number_2 numeric
@attribute delta_images_area_fraction_2 numeric
@attribute delta_is_vertical_2 numeric
@attribute delta_is_identical_url_2 numeric
@attribute delta_had_image_2 numeric
@attribute delta_position_y_3 numeric
@attribute delta_height_3 numeric
@attribute delta_title_char_length_3 numeric
@attribute delta_title_word_length_3 numeric
@attribute delta_title_matches_3 numeric
@attribute delta_snippet_char_length_3 numeric
@attribute delta_snippet_word_length_3 numeric
@attribute delta_snippet_matches_3 numeric
@attribute delta_images_number_3 numeric
@attribute delta_images_area_fraction_3 numeric
@attribute delta_is_vertical_3 numeric
@attribute delta_is_identical_url_3 numeric
@attribute delta_had_image_3 numeric
@attribute delta_position_y_4 numeric
@attribute delta_height_4 numeric
@attribute delta_title_char_length_4 numeric
@attribute delta_title_word_length_4 numeric
@attribute delta_title_matches_4 numeric
@attribute delta_snippet_char_length_4 numeric
@attribute delta_snippet_word_length_4 numeric
@attribute delta_snippet_matches_4 numeric
@attribute delta_images_number_4 numeric
@attribute delta_images_area_fraction_4 numeric
@attribute delta_is_vertical_4 numeric
@attribute delta_is_identical_url_4 numeric
@attribute delta_had_image_4 numeric
@attribute delta_position_y_5 numeric
@attribute delta_height_5 numeric
@attribute delta_title_char_length_5 numeric
@attribute delta_title_word_length_5 numeric
@attribute delta_title_matches_5 numeric
@attribute delta_snippet_char_length_5 numeric
@attribute delta_snippet_word_length_5 numeric
@attribute delta_snippet_matches_5 numeric
@attribute delta_images_number_5 numeric
@attribute delta_images_area_fraction_5 numeric
@attribute delta_is_vertical_5 numeric
@attribute delta_is_identical_url_5 numeric
@attribute delta_had_image_5 numeric
@attribute delta_position_y_6 numeric
@attribute delta_height_6 numeric
@attribute delta_title_char_length_6 numeric
@attribute delta_title_word_length_6 numeric
@attribute delta_title_matches_6 numeric
@attribute delta_snippet_char_length_6 numeric
@attribute delta_snippet_word_length_6 numeric
@attribute delta_snippet_matches_6 numeric
@attribute delta_images_number_6 numeric
@attribute delta_images_area_fraction_6 numeric
@attribute delta_is_vertical_6 numeric
@attribute delta_is_identical_url_6 numeric
@attribute delta_had_image_6 numeric
@attribute delta_position_y_7 numeric
@attribute delta_height_7 numeric
@attribute delta_title_char_length_7 numeric
@attribute delta_title_word_length_7 numeric
@attribute delta_title_matches_7 numeric
@attribute delta_snippet_char_length_7 numeric
@attribute delta_snippet_word_length_7 numeric
@attribute delta_snippet_matches_7 numeric
@attribute delta_images_number_7 numeric
@attribute delta_images_area_fraction_7 numeric
@attribute delta_is_vertical_7 numeric
@attribute delta_is_identical_url_7 numeric
@attribute delta_had_image_7 numeric
@attribute delta_position_y_8 numeric
@attribute delta_height_8 numeric
@attribute delta_title_char_length_8 numeric
@attribute delta_title_word_length_8 numeric
@attribute delta_title_matches_8 numeric
@attribute delta_snippet_char_length_8 numeric
@attribute delta_snippet_word_length_8 numeric
@attribute delta_snippet_matches_8 numeric
@attribute delta_images_number_8 numeric
@attribute delta_images_area_fraction_8 numeric
@attribute delta_is_vertical_8 numeric
@attribute delta_is_identical_url_8 numeric
@attribute delta_had_image_8 numeric
@attribute delta_position_y_9 numeric
@attribute delta_height_9 numeric
@attribute delta_title_char_length_9 numeric
@attribute delta_title_word_length_9 numeric
@attribute delta_title_matches_9 numeric
@attribute delta_snippet_char_length_9 numeric
@attribute delta_snippet_word_length_9 numeric
@attribute delta_snippet_matches_9 numeric
@attribute delta_images_number_9 numeric
@attribute delta_images_area_fraction_9 numeric
@attribute delta_is_vertical_9 numeric
@attribute delta_is_identical_url_9 numeric
@attribute delta_had_image_9 numeric
@attribute delta_position_y_10 numeric
@attribute delta_height_10 numeric
@attribute delta_title_char_length_10 numeric
@attribute delta_title_word_length_10 numeric
@attribute delta_title_matches_10 numeric
@attribute delta_snippet_char_length_10 numeric
@attribute delta_snippet_word_length_10 numeric
@attribute delta_snippet_matches_10 numeric
@attribute delta_images_number_10 numeric
@attribute delta_images_area_fraction_10 numeric
@attribute delta_is_vertical_10 numeric
@attribute delta_is_identical_url_10 numeric
@attribute delta_had_image_10 numeric
@attribute preference {sogou,baidu}

@data
12,2,5,8,0.883001,5,0.06617,1,5,169,0,19,4,2,504,104,2,encyclopedia,1,0.186314,1,0,1,2,188,273,14,42,6,2,0,0,0,others,0,0,1,0,0,3,475,229,14,22,6,2,0,0,0,forum,1,0.045657,1,1,1,4,718,89,14,47,10,2,0,0,0,others,0,0,1,0,0,5,821,120,14,78,19,3,258,57,0,others,1,0.170555,1,0,1,6,955,109,14,89,17,4,229,51,4,image_text,1,0.154753,1,0,1,1,1078,85,0,87,20,2,234,42,4,organic,0,0,0,1,0,7,1177,129,113,25,5,1,140,30,3,forum,1,0.13076,1,0,1,2,1320,85,157,89,20,2,227,50,6,organic,0,0,0,0,0,8,1419,165,113,33,6,2,0,0,0,news,0,0,1,0,0,4,8,0.860353,2,0.029196,1,5,118,0,92,20,5,0,0,0,image_text,1,0.154707,1,0,1,2,135,133,12,19,4,2,0,0,0,others,0,0,1,0,0,3,280,90,12,91,19,1,0,0,0,image_text,0,0,1,0,0,4,382,90,12,94,20,5,0,0,0,image_text,0,0,1,0,0,5,484,228,12,0,0,0,658,149,10,news,1,0.079777,1,0,1,6,724,90,12,88,19,1,0,0,0,image_text,0,0,1,0,0,1,826,87,0,82,17,2,180,38,4,organic,0,0,0,0,0,2,926,87,13,87,20,2,188,37,3,organic,0,0,0,1,0,7,1026,233,212,22,6,2,0,0,0,forum,0,0,1,1,0,8,1271,90,12,81,15,4,0,0,0,image_text,0,0,1,0,0,1,0,0.022648,3,0.036974,0,51,-73,-16,-3,504,104,2,0,0.031606,0,0,0,53,140,23,2,0,0,0,0,0,0,0,0,0,195,139,-69,-13,1,0,0,0,1,0.045657,0,1,1,336,-1,-47,-10,-3,0,0,0,0,0,0,0,0,337,-108,78,19,3,-400,-92,-10,0,0.090778,0,0,0,231,19,1,-2,3,229,51,4,1,0.154753,0,0,1,252,-2,5,3,0,54,4,0,0,0,0,1,0,251,42,-62,-15,-1,-48,-7,0,1,0.13076,1,-1,1,294,-148,67,14,0,227,50,6,0,0,-1,-1,0,148,75,-48,-9,-2,0,0,0,0,0,0,0,0,sogou
24,4,3,7,0.741784,6,0.095031,1,5,129,0,89,18,2,206,59,9,image_text,1,0.13076,1,0,1,2,148,114,14,51,12,4,177,34,9,download,0,0,1,1,0,1,276,105,0,79,17,3,194,58,7,organic,0,0,0,0,0,3,395,109,133,63,13,4,236,46,15,image_text,1,0.154753,1,0,1,4,518,109,14,79,17,7,180,39,9,image_text,1,0.154753,1,0,1,5,641,111,14,79,23,5,153,43,6,forum,1,0.151964,1,0,1,2,766,85,385,81,17,4,232,46,0,organic,0,0,0,0,0,6,865,109,113,89,18,9,229,47,9,image_text,1,0.154753,1,0,1,7,988,109,14,90,18,6,256,53,12,image_text,1,0.154753,1,0,1,3,1111,85,260,83,17,4,225,49,2,organic,0,0,0,0,0,2,5,0.520397,0,0,1,5,90,0,79,16,3,0,0,0,image_text,0,0,1,0,0,2,107,90,12,84,20,5,0,0,0,image_text,0,0,1,0,0,1,209,87,0,62,11,4,217,48,12,organic,0,0,0,0,0,2,309,87,13,91,19,2,223,46,5,organic,0,0,0,0,0,3,409,112,212,31,6,4,0,0,0,forum,0,0,1,0,0,4,533,90,12,51,12,4,0,0,0,image_text,0,0,1,1,0,3,635,87,239,70,13,4,238,51,4,organic,0,0,0,0,0,4,735,87,13,86,18,5,228,41,17,organic,0,0,0,0,0,5,835,87,13,66,14,6,224,44,13,organic,0,0,0,0,0,5,935,90,312,83,20,7,0,0,0,image_text,0,0,1,0,0,1,2,0.221387,6,0.095031,0,39,10,2,-1,206,59,9,1,0.13076,0,0,1,41,24,-33,-8,-1,177,34,9,0,0,0,1,0,67,18,17,6,-1,-23,10,-5,0,0,0,0,0,86,22,-28,-6,2,13,0,10,1,0.154753,1,0,1,109,-3,48,11,3,180,39,9,1,0.154753,0,0,1,108,21,28,11,1,153,43,6,1,0.151964,0,-1,1,131,-2,11,4,0,-6,-5,-4,0,0,0,0,0,130,22,3,0,4,1,6,-8,1,0.154753,1,0,1,153,22,24,4,0,32,9,-1,1,0.154753,1,0,1,176,-5,0,-3,-3,225,49,2,0,0,-1,0,0,sogou
27,5,2,5,0.581461,3,0.047382,1,5,85,0,38,8,3,182,43,6,organic,0,0,0,0,0,2,104,85,14,69,13,4,148,31,7,organic,0,0,0,0,0,1,203,107,0,59,12,6,210,54,4,forum,0,0,1,1,0,2,324,149,14,67,13,5,173,35,4,forum,1,0.113208,1,0,1,3,487,111,14,86,17,4,152,34,4,forum,1,0.151964,1,0,1,4,612,109,14,35,7,2,248,49,20,image_text,1,0.154753,1,0,1,3,735,85,546,69,13,4,218,48,8,organic,0,0,0,0,0,5,834,145,113,48,11,3,307,79,9,forum,0,0,1,0,0,4,993,85,173,49,12,4,209,45,6,organic,0,0,0,0,0,5,1092,107,14,78,21,5,224,48,11,organic,0,0,0,0,0,5,8,0.843243,0,0,1,5,98,0,49,9,4,0,0,0,download,0,0,1,0,0,2,115,202,12,62,14,5,0,0,0,forum,0,0,1,0,0,3,329,134,12,83,18,4,0,0,0,forum,0,0,1,0,0,4,475,112,12,48,11,3,0,0,0,forum,0,0,1,0,0,5,599,90,12,80,17,5,0,0,0,others,0,0,1,0,0,6,701,92,12,59,12,6,0,0,0,forum,0,0,1,1,0,1,805,87,0,77,16,5,203,54,2,organic,0,0,0,0,0,7,905,90,112,37,7,4,0,0,0,image_text,0,0,1,0,0,8,1007,118,12,86,19,4,0,0,0,video,0,0,1,0,0,2,1137,87,245,92,15,5,222,41,10,organic,0,0,0,0,0,-3,-3,-0.261783,3,0.047382,0,-13,-11,-1,-1,182,43,6,0,0,-1,0,0,-11,-117,7,-1,-1,148,31,7,0,0,-1,0,0,-126,-27,-24,-6,2,210,54,4,0,0,0,1,0,-151,37,19,2,2,173,35,4,1,0.113208,0,0,1,-112,21,6,0,-1,152,34,4,1,0.151964,0,0,1,-89,17,-24,-5,-4,248,49,20,1,0.154753,0,-1,1,-70,-2,-8,-3,-1,15,-6,6,0,0,0,0,0,-71,55,11,4,-1,307,79,9,0,0,0,0,0,-14,-33,-37,-7,0,209,45,6,0,0,-1,0,0,-45,20,-14,6,0,2,7,1,0,0,0,0,0,sogou
