baidu_reciprocal_of_the_rank_of_the_first_identical_url,baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls,baidu_fraction_of_identical_urls_first_screen,baidu_had_identical_url_first_screen,sogou_reciprocal_of_the_rank_of_the_first_identical_url,sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls,sogou_fraction_of_identical_urls_first_screen,sogou_had_identical_url_first_screen,delta_reciprocal_of_the_rank_of_the_first_identical_url,delta_average_of_reciprocal_of_the_rank_of_the_identical_urls,delta_fraction_of_identical_urls_first_screen,delta_had_identical_url_first_screen,char_length,word_length,baidu_reciprocal_of_the_rank_of_the_first_vertical_result,baidu_position_y_of_the_first_vertical_result,baidu_height_of_the_first_vertical_result,baidu_reciprocal_of_the_rank_of_the_first_result_with_image,baidu_position_y_of_the_first_result_with_image,baidu_height_of_the_first_result_with_image,baidu_fraction_of_vertical_results_first_screen,baidu_area_fraction_of_vertical_result_first_screen,baidu_fraction_of_results_with_images_first_screen,baidu_area_fraction_of_results_with_images_first_screen,baidu_number_of_images_first_screen,baidu_area_fraction_of_images_first_screen,baidu_number_of_vertical_types_first_screen,baidu_had_encyclopedia_first_screen,baidu_had_gps_map_first_screen,baidu_had_forum_first_screen,baidu_had_experience_first_screen,sogou_reciprocal_of_the_rank_of_the_first_vertical_result,sogou_position_y_of_the_first_vertical_result,sogou_height_of_the_first_vertical_result,sogou_reciprocal_of_the_rank_of_the_first_result_with_image,sogou_position_y_of_the_first_result_with_image,sogou_height_of_the_first_result_with_image,sogou_fraction_of_vertical_results_first_screen,sogou_area_fraction_of_vertical_result_first_screen,sogou_fraction_of_results_with_images_first_screen,sogou_area_fraction_of_results_with_images_first_screen,sogou_number_of_images_first_screen,sogou_area_fraction_of_images_first_screen,sogou_number_of_vertical_types_first_screen,sogou_had_encyclopedia_first_screen,sogou_had_gps_map_first_screen,sogou_had_forum_first_screen,sogou_had_experience_first_screen,delta_reciprocal_of_the_rank_of_the_first_vertical_result,delta_position_y_of_the_first_vertical_result,delta_height_of_the_first_vertical_result,delta_reciprocal_of_the_rank_of_the_first_result_with_image,delta_position_y_of_the_first_result_with_image,delta_height_of_the_first_result_with_image,delta_fraction_of_vertical_results_first_screen,delta_area_fraction_of_vertical_result_first_screen,delta_fraction_of_results_with_images_first_screen,delta_area_fraction_of_results_with_images_first_screen,delta_number_of_images_first_screen,delta_area_fraction_of_images_first_screen,delta_number_of_vertical_types_first_screen,delta_had_encyclopedia_first_screen,delta_had_gps_map_first_screen,delta_had_forum_first_screen,delta_had_experience_first_screen,preference
1.0,1.0,0.2,1,1.0,1.0,0.333333333333,1,0.0,0.0,-0.133333333333,0,21,4,1.0,5.0,134.0,1.0,5.0,134.0,0.6,0.689213893967,0.4,0.444241316271,2.0,0.0682533317929,2,0,0,0,0,1.0,5.0,144.0,0.5,161.0,118.0,1.0,1.0,0.666666666667,0.765089722675,2.0,0.0336764051609,3,0,0,0,0,0.0,0.0,-10.0,0.5,-156.0,16.0,-0.4,-0.310786106033,-0.266666666667,-0.320848406405,0.0,0.034576926632,-1,0,0,0,0,sogou
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24,4,1.0,5.0,129.0,1.0,5.0,129.0,0.8,0.841713221601,0.6,0.683426443203,3.0,0.100935944563,3,1,0,1,0,1.0,5.0,112.0,0,-1,0,1.0,1.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0.0,0.0,17.0,1.0,6.0,129.0,-0.2,-0.158286778399,0.6,0.683426443203,3.0,0.100935944563,0,1,0,0,0,baidu
0.333333333333,0.333333333333,0.0,0,0.1,0.1,0.0,0,0.233333333333,0.233333333333,0.0,0,9,2,1.0,5.0,318.0,1.0,5.0,318.0,1.0,1.0,1.0,1.0,2.0,0.139008266986,2,1,0,0,0,1.0,5.0,135.0,0.5,152.0,173.0,1.0,1.0,0.25,0.296740994854,1.0,0.0521253703415,2,0,0,0,0,0.0,0.0,183.0,0.5,-147.0,145.0,0.0,0.0,0.75,0.703259005146,1.0,0.0868828966448,0,1,0,0,0,baidu
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9,2,1.0,5.0,129.0,1.0,5.0,129.0,0.6,0.735202492212,0.4,0.38785046729,2.0,0.0637587001587,3,1,0,0,0,1.0,5.0,133.0,0,-1,0,0.75,0.842676311031,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-4.0,1.0,6.0,129.0,-0.15,-0.107473818819,0.4,0.38785046729,2.0,0.0637587001587,1,1,0,-1,0,baidu
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13,3,1.0,5.0,244.0,1.0,5.0,244.0,0.75,0.854202401372,0.5,0.708404802744,5.0,0.213856670089,3,0,0,1,0,1.0,5.0,246.0,0.2,611.0,228.0,0.75,0.843806104129,0.0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,-2.0,0.8,-606.0,16.0,0.0,0.0103962972429,0.5,0.708404802744,5.0,0.213856670089,2,0,0,0,0,baidu
0.2,0.2,0.0,0,0.5,0.5,0.166666666667,1,-0.3,-0.3,-0.166666666667,-1,30,4,0.5,104.0,268.0,0.2,584.0,109.0,0.25,0.512428298279,0.0,0.0,0.0,0.0,1,0,0,0,0,0.5,105.0,90.0,0.166666666667,507.0,184.0,0.333333333333,0.440514469453,0.166666666667,0.295819935691,1.0,0.0292429114294,2,0,0,0,0,0.0,-1.0,178.0,0.0333333333333,77.0,-75.0,-0.0833333333333,0.0719138288258,-0.166666666667,-0.295819935691,-1.0,-0.0292429114294,-1,0,0,0,0,baidu
0.2,0.15,0.0,0,0.25,0.1875,0.25,1,-0.05,-0.0375,-0.25,-1,21,4,1.0,5.0,250.0,1.0,5.0,250.0,1.0,1.0,1.0,1.0,8.0,0.371423811422,3,0,0,0,0,0.5,105.0,210.0,0.5,105.0,210.0,0.5,0.653386454183,0.25,0.418326693227,4.0,0.212792466498,2,0,0,0,0,0.5,-100.0,40.0,0.5,-100.0,40.0,0.5,0.346613545817,0.75,0.581673306773,4.0,0.158631344924,1,0,0,0,0,baidu
0.5,0.5,0.2,1,0.111111111111,0.111111111111,0.0,0,0.388888888889,0.388888888889,0.2,1,28,6,1.0,5.0,109.0,1.0,5.0,109.0,0.8,0.834932821497,0.6,0.629558541267,3.0,0.0971287700947,2,0,0,1,0,1.0,5.0,136.0,0,-1,0,0.6,0.674157303371,0.0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,-27.0,1.0,6.0,109.0,0.2,0.160775518126,0.6,0.629558541267,3.0,0.0971287700947,1,0,0,0,0,baidu
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,30,4,1.0,5.0,109.0,1.0,5.0,109.0,0.333333333333,0.390681003584,0.333333333333,0.390681003584,2.0,0.0604588879562,1,0,0,0,0,1.0,5.0,90.0,0,-1,0,0.5,0.508474576271,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,19.0,1.0,6.0,109.0,-0.166666666667,-0.117793572687,0.333333333333,0.390681003584,2.0,0.0604588879562,0,0,0,0,0,baidu
0.125,0.125,0.0,0,0.25,0.25,0.2,1,-0.125,-0.125,-0.2,-1,12,2,0.5,104.0,169.0,0.5,104.0,169.0,0.6,0.707903780069,0.6,0.707903780069,3.0,0.118250105392,3,1,0,0,0,0.5,105.0,118.0,0.5,105.0,118.0,0.4,0.443496801706,0.2,0.251599147122,1.0,0.0387827098275,1,0,0,0,0,0.0,-1.0,51.0,0.0,-1.0,51.0,0.2,0.264406978363,0.4,0.456304632947,2.0,0.0794673955648,2,1,0,0,0,baidu
0.142857142857,0.142857142857,0.0,0,0.333333333333,0.333333333333,0.25,1,-0.190476190476,-0.190476190476,-0.25,-1,25,5,1.0,5.0,210.0,1.0,5.0,210.0,1.0,1.0,0.75,0.816753926702,6.0,0.214309348177,3,1,0,0,0,1.0,5.0,185.0,1.0,5.0,185.0,0.75,0.835227272727,0.25,0.350378787879,1.0,0.00485537190083,3,0,0,0,0,0.0,0.0,25.0,0.0,0.0,25.0,0.25,0.164772727273,0.5,0.466375138823,5.0,0.209453976276,0,1,0,0,0,sogou
0.333333333333,0.333333333333,0.25,1,0.166666666667,0.166666666667,0.0,0,0.166666666667,0.166666666667,0.25,1,30,6,1.0,5.0,243.0,1.0,5.0,243.0,1.0,1.0,0.75,0.849823321555,6.0,0.205833672679,3,0,0,0,1,1.0,5.0,90.0,0.166666666667,557.0,162.0,0.8,0.822810590631,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,153.0,0.833333333333,-552.0,81.0,0.2,0.177189409369,0.75,0.849823321555,6.0,0.205833672679,1,0,0,-1,1,baidu
0.333333333333,0.25,0.4,1,0.5,0.311111111111,0.4,1,-0.166666666667,-0.0611111111111,0.0,0,24,3,1.0,5.0,165.0,0.111111111111,960.0,223.0,0.6,0.67803030303,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,5.0,158.0,0,-1,0,0.6,0.674157303371,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,7.0,0.111111111111,961.0,223.0,0.0,0.00387299965952,0.0,0.0,0.0,0.0,-1,0,0,0,0,baidu
