query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
花的种类大全图鉴图片	4	9	0.94907130018	20	0.29173692147	3	8	0.819875776398	1	0.0188292866554	1	1	0.129195523782	19	0.272907634814	
新疆舞蹈视频大全	2	9	0.930098684211	11	0.18366177118	2	9	0.921692169217	6	0.108213730464	0	0	0.0084065149936	5	0.0754480407159	
全国劳动模范先进事迹	3	5	0.63456577816	1	0.0145038948751	4	5	0.644897959184	1	0.0148482374768	-1	0	-0.0103321810237	0	-0.000344342601678	
qq空间电影	4	6	0.755980861244	7	0.126765799257	3	5	0.629080118694	1	0.0179911878428	1	1	0.12690074255	6	0.108774611414	
我的纪录片	4	8	0.864757358791	10	0.15709498925	5	9	0.928217821782	5	0.0823582358236	-1	-1	-0.0634604629914	5	0.0747367534262	
ysl口红57号	4	9	0.928810720268	10	0.16300056665	3	10	1.0	4	0.0918707506834	1	-1	-0.071189279732	6	0.0711298159665	
坐庄+迅雷高清	2	2	0.25601750547	1	0.01845517477	3	5	0.593275488069	0	0.0	-1	-3	-0.337257982599	1	0.01845517477	
怎样看股票走势图	4	9	0.932432432432	11	0.165372840586	5	8	0.867881548975	6	0.0896030924277	-1	1	0.0645508834575	5	0.0757697481584	
吸鱼机	4	10	1.0	13	0.196560289342	3	6	0.611607142857	0	0.0	1	4	0.388392857143	13	0.196560289342	
粉宝乐园	4	6	0.738662567256	6	0.119969197272	5	7	0.678082191781	2	0.0294728102947	-1	-1	0.0605803754751	4	0.090496386977	
冯辉轮滑视频	1	9	0.92928452579	10	0.17027073836	3	9	0.93023255814	5	0.0800466574324	-2	0	-0.000948032349186	5	0.0902240809281	
死亡循环2txt下载	2	3	0.391437308869	2	0.0343894592044	3	5	0.556574923547	1	0.0185413770735	-1	-2	-0.165137614679	1	0.015848082131	
黄遂柱	2	3	0.368365180467	2	0.0358132266237	4	6	0.682191780822	1	0.0166110419261	-2	-3	-0.313826600355	1	0.0192021846976	
折纸玫瑰视频	2	10	1.0	12	0.191153238547	4	10	1.0	14	0.184074250357	-2	0	0.0	-2	0.00707898818963	
莽荒纪txt免费下载	3	7	0.770609318996	6	0.0971372799829	2	6	0.683923705722	1	0.0276013541409	1	1	0.0866856132743	5	0.0695359258421	
退伍日记下载	3	5	0.593690248566	4	0.0713854158522	4	4	0.444680851064	0	0.0	-1	1	0.149009397502	4	0.0713854158522	
名师工作室代表发言稿	2	3	0.376310272537	1	0.0176813728928	3	8	0.846830985915	0	0.0	-1	-5	-0.470520713379	1	0.0176813728928	
玫瑰酱的做法	5	10	1.0	14	0.166544260052	6	10	1.0	9	0.116301312399	-1	0	0.0	5	0.0502429476531	
蛮荒囚徒	3	3	0.40380761523	2	0.0374093912733	4	5	0.618755477651	0	0.0	-1	-2	-0.214947862421	2	0.0374093912733	
单机破解游戏下载大全中文版下载	1	7	0.748272458045	7	0.116560916267	2	9	0.913946587537	3	0.0456649581872	-1	-2	-0.165674129492	4	0.0708959580798	
360分区助手	4	9	0.934312210201	10	0.147736478916	5	8	0.835849056604	1	0.0171595197256	-1	1	0.0984631535972	9	0.130576959191	
生死狙击等待udp连接	2	6	0.668498168498	4	0.0617876547245	1	7	0.800331400166	0	0.0	1	-1	-0.131833231668	4	0.0617876547245	
英雄联盟阿卡利神秘商店2015	2	9	0.918791312559	8	0.127426098129	2	7	0.741328047572	1	0.0180268492657	0	2	0.177463264987	7	0.109399248863	
小学形声字儿歌	2	4	0.423728813559	1	0.0231260370067	2	7	0.75023923445	0	0.0	0	-3	-0.32651042089	1	0.0231260370067	
牌九游戏大厅	2	2	0.23937360179	1	0.0188680422145	3	5	0.591133004926	1	0.0151616659203	-1	-3	-0.351759403136	0	0.00370637629423	
生化危机5免费高清	4	7	0.779029462738	5	0.092964184701	3	8	0.932400932401	0	0.0	1	-1	-0.153371469663	5	0.092964184701	
帮助小白兔过河200字	1	1	0.120689655172	0	0.0	2	2	0.24347826087	0	0.0	-1	-1	-0.122788605697	0	0.0	
雨霖铃	5	8	0.865079365079	3	0.0458739009854	4	8	0.929268292683	0	0.0	1	0	-0.0641889276036	3	0.0458739009854	
践行社会主义核心价值观心得体会	3	4	0.496544916091	2	0.0333031189334	3	3	0.463436123348	2	0.0320512615138	0	1	0.0331087927428	0	0.0012518574196	
cf老玩家回归礼包	3	7	0.759398496241	5	0.0805353299606	3	9	0.910585817061	1	0.0186938241615	0	-2	-0.15118732082	4	0.0618415057991	
端午日阅读答案	2	6	0.650565262076	0	0.0	2	5	0.618215271389	0	0.0	0	1	0.0323499906869	0	0.0	
数学诗歌	4	6	0.676496872207	1	0.0150741999462	5	7	0.795133437991	1	0.01427715142	-1	-1	-0.118636565783	0	0.000797048526173	
营销词	4	7	0.77893056664	4	0.0655156249536	3	8	0.835538752363	0	0.0	1	-1	-0.0566081857229	4	0.0655156249536	
取名字打分	3	8	0.844464775846	6	0.0925966865861	3	8	0.847635726795	4	0.0563540837446	0	0	-0.0031709509488	2	0.0362426028415	
东风小康K17	5	9	0.942009440324	11	0.143729303858	5	10	1.0	7	0.0716080964639	0	-1	-0.0579905596763	4	0.0721212073937	
高尔基的童年	3	4	0.504373177843	2	0.0504893407177	5	8	0.884462151394	3	0.047335506459	-2	-4	-0.380088973552	-1	0.00315383425869	
高贵的母亲	3	3	0.379275653924	5	0.0827100147353	3	5	0.616740088106	1	0.0160256307569	0	-2	-0.237464434182	4	0.0666843839783	
深圳地铁线路图	4	9	0.914876690533	13	0.219080953353	5	8	0.878745644599	14	0.246988913525	-1	1	0.0361310459337	-1	-0.0279079601728	
mp3转换器	4	10	1.0	8	0.104825481319	4	9	0.947533281128	7	0.102138534918	0	1	0.0524667188724	1	0.00268694640013	
路路通编织方法	5	8	0.856929955291	15	0.227318433897	3	9	0.918918918919	4	0.0760755740066	2	-1	-0.0619889636283	11	0.151242859891	
七原罪漫画120	1	4	0.459172852598	4	0.0715504973055	1	4	0.417633410673	0	0.0	0	0	0.0415394419252	4	0.0715504973055	
索纳塔	6	9	0.946372239748	9	0.120028613981	5	9	0.952549575071	5	0.0744244141128	1	0	-0.00617733532319	4	0.0456041998682	
迦南诗选打包下载	1	5	0.547570850202	5	0.0853645229746	2	4	0.459051724138	0	0.0	-1	1	0.0885191260645	5	0.0853645229746	
忧伤的图片	3	8	0.860408163265	14	0.217610196495	3	7	0.797674418605	10	0.177933756166	0	1	0.0627337446607	4	0.0396764403286	
西门剑姬	5	8	0.852307692308	9	0.135809265084	5	10	1.0	5	0.0741040696497	0	-2	-0.147692307692	4	0.0617051954346	
魔兽显血改键工具	3	9	0.926343154246	7	0.11791054873	3	10	1.0	2	0.0280562448304	0	-1	-0.0736568457539	5	0.0898543038994	
众泰t600运动版	3	8	0.854824935952	20	0.296081892323	3	9	0.937768240343	14	0.366247886591	0	-1	-0.0829433043912	6	-0.0701659942678	
难忘的泼水节ppt	3	6	0.694444444444	8	0.125521312174	3	6	0.666026871401	0	0.0	0	0	0.0284175730433	8	0.125521312174	
好听的微信公众号名字	3	8	0.830985915493	6	0.0890917063721	3	7	0.781954887218	2	0.0303911293385	0	1	0.0490310282749	4	0.0587005770336	
张籽沐qq号	2	5	0.573573573574	3	0.0506547439633	3	8	0.835538752363	0	0.0	-1	-3	-0.261965178789	3	0.0506547439633	
一般将来时	4	6	0.679849340866	2	0.0351549646805	6	8	0.857025472473	2	0.029891685964	-2	-2	-0.177176131607	0	0.00526327871652	
租店面	4	4	0.511029411765	3	0.0657305789416	4	6	0.756473058083	2	0.0234976779693	0	-2	-0.245443646318	1	0.0422329009723	
钟馗伏魔+雪妖魔灵mp4	4	7	0.772321428571	7	0.118277018056	5	9	0.932084309133	6	0.0938528138528	-1	-2	-0.159762880562	1	0.0244242042035	
敢达OL尊贵礼包	2	8	0.837476099426	8	0.129009787685	2	7	0.67496886675	0	0.0	0	1	0.162507232677	8	0.129009787685	
深圳驾驶证考生自主预约	3	5	0.548832271762	3	0.0537198399356	4	6	0.678373382625	3	0.0618551503949	-1	-1	-0.129541110863	0	-0.0081353104593	
传奇墨舞碧歌最新章节	3	4	0.510536398467	1	0.0301599510034	3	4	0.586698337292	1	0.00194342474628	0	0	-0.0761619388247	0	0.0282165262572	
桃花圣手	3	5	0.606481481481	3	0.060391711414	3	5	0.547817047817	0	0.0	0	0	0.0586644336644	3	0.060391711414	
结对帮扶+义诊	1	3	0.354663774403	3	0.0548851293051	4	5	0.610564010743	1	0.0162838772687	-3	-2	-0.25590023634	2	0.0386012520365	
罗汉说鸽	4	8	0.853321829163	9	0.143404935032	5	10	1.0	6	0.0861771747805	-1	-2	-0.146678170837	3	0.0572277602519	
gta4秘籍	3	6	0.747041420118	7	0.103861001738	3	7	0.785714285714	0	0.0	0	-1	-0.0386728655959	7	0.103861001738	
王宗岳太极拳论解释	2	2	0.337110481586	1	0.02973275623	4	9	0.932818532819	1	0.0140456300456	-2	-7	-0.595708051232	0	0.0156871261844	
星座屋	4	4	0.494047619048	2	0.0334683129757	3	6	0.741648106904	4	0.0461375447122	1	-2	-0.247600487857	-2	-0.0126692317364	
钓鱼杆绑线技巧	4	8	0.844890510949	7	0.111017081377	4	8	0.862007168459	4	0.0731443466927	0	0	-0.0171166575099	3	0.0378727346846	
小龙的随身空间	4	6	0.747399702823	11	0.122711103255	4	7	0.822448979592	6	0.0817860235003	0	-1	-0.0750492767687	5	0.0409250797548	
拼音输入法下载	3	6	0.73886328725	5	0.0590626945106	3	10	1.0	7	0.0303092236231	0	-4	-0.26113671275	-2	0.0287534708875	
福建教师招聘考试报名入口	1	1	0.1	0	0.0	3	8	0.830739299611	0	0.0	-2	-7	-0.730739299611	0	0.0	
单田芳评书薛礼征东	2	8	0.838556505223	7	0.112133151167	2	6	0.636743215031	0	0.0	0	2	0.201813290192	7	0.112133151167	
2015变形计歌曲大全	3	3	0.385964912281	2	0.0385289705786	2	6	0.636743215031	0	0.0	1	-3	-0.250778302751	2	0.0385289705786	
ea888发动机优缺点	4	8	0.82893685052	10	0.155708890137	3	10	1.0	1	0.0158166007905	1	-2	-0.17106314948	9	0.139892289346	
碟中谍3高清在线观看	3	7	0.794022617124	6	0.103188377945	2	9	1.0	0	0.0	1	-2	-0.205977382876	6	0.103188377945	
塔尔寺	5	9	0.938001458789	10	0.231479749132	7	9	0.960669077758	11	0.13583429229	-2	0	-0.0226676189685	-1	0.0956454568417	
客厅灯	5	10	1.0	13	0.20322843568	5	9	0.941689008043	12	0.212449427248	0	1	0.0583109919571	1	-0.00922099156857	
中建三局招聘	2	5	0.659090909091	4	0.0628528156409	3	5	0.660947712418	2	0.0297207367796	-1	0	-0.00185680332739	2	0.0331320788614	
精神文明建设	6	8	0.862348178138	4	0.0764369459537	2	3	0.469512195122	1	0.0158441558442	4	5	0.392835983016	3	0.0605927901095	
四川腊肉	6	10	1.0	14	0.264816382932	8	10	1.0	8	0.115074288592	-2	0	0.0	6	0.14974209434	
克罗地亚战警	4	9	0.933800623053	11	0.172709006474	4	8	0.865011636928	5	0.0774384653361	0	1	0.0687889861251	6	0.0952705411377	
天使妹妹	4	5	0.54939516129	4	0.0716437822281	4	7	0.803759398496	5	0.0750512645249	0	-2	-0.254364237206	-1	-0.00340748229686	
豆角烧茄子	7	10	1.0	18	0.232381052195	6	10	1.0	3	0.038403021311	1	0	0.0	15	0.193978030884	
app制作软件	6	10	1.0	11	0.1490250956	6	9	0.943834732085	10	0.127073185046	0	1	0.0561652679148	1	0.0219519105537	
论文封面	5	8	0.878658101356	16	0.223536560449	7	9	0.940123881624	12	0.184992804855	-2	-1	-0.0614657802681	4	0.0385437555942	
铠甲战士	6	8	0.879773691655	12	0.180159372815	5	10	1.0	11	0.190412129234	1	-2	-0.120226308345	1	-0.0102527564195	
斜面自锁力的计算	3	8	0.837940896092	4	0.0677508407724	3	8	0.833969465649	0	0.0	0	0	0.00397143044266	4	0.0677508407724	
球粒陨石	6	9	0.927101200686	11	0.186364592832	5	10	1.0	5	0.0943849453438	1	-1	-0.0728987993139	6	0.0919796474877	
易物天下骗局	2	5	0.609375	9	0.154177714301	3	5	0.578079534433	1	0.017642183229	-1	0	0.0312954655674	8	0.136535531072	
