query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
搞笑故事	3	6	0.737692307692	2	0.0259508149843	3	3	0.498723404255	1	0.0154800773694	0	3	0.238968903437	1	0.0104707376148	
柳屯一中	5	5	0.685418208734	7	0.18025199563	5	6	0.714754098361	1	0.0149090909091	0	-1	-0.0293358896264	6	0.165342904721	
青岛海底世界门票价格	3	10	1.0	11	0.170363373483	3	8	0.855721393035	3	0.0391738278305	0	2	0.144278606965	8	0.131189545652	
钻石小鸟	5	10	1.0	5	0.0563388762649	3	9	0.939917127072	10	0.123825966851	2	1	0.0600828729282	-5	-0.0674870905859	
极限特工3下载	3	5	0.585769980507	4	0.0692696218034	2	8	0.847902097902	1	0.0158995549905	1	-3	-0.262132117395	3	0.0533700668129	
卤鸡腿的做法	3	10	1.0	15	0.174348373372	6	10	1.0	7	0.092950339585	-3	0	0.0	8	0.0813980337871	
中星9号	5	8	0.855421686747	8	0.123461783939	5	7	0.791533546326	1	0.0145280278827	0	1	0.0638881404211	7	0.108933756056	
大染坊	5	8	0.880197322058	6	0.100328520792	5	9	1.0	2	0.137831961485	0	-1	-0.119802677942	4	-0.0375034406928	
护士求职简历模板下载	2	7	0.765193370166	5	0.0776612787283	3	5	0.546402502607	0	0.0	-1	2	0.218790867559	5	0.0776612787283	
左耳小说下载全本	3	4	0.507692307692	4	0.0834751215327	2	3	0.418338108883	0	0.0	1	1	0.0893541988098	4	0.0834751215327	
4月5日变形记	4	8	0.839195979899	5	0.0898498066541	5	9	0.92719665272	1	0.0152209965766	-1	-1	-0.0880006728202	4	0.0746288100774	
剑灵咒术师八卦牌选择	3	7	0.801247077163	5	0.0657366708487	2	6	0.659491193738	0	0.0	1	1	0.141755883425	5	0.0657366708487	
造梦西游3无敌版	4	7	0.784446322908	7	0.100473875567	4	9	0.923951048951	3	0.0471900826446	0	-2	-0.139504726043	4	0.0532837929222	
青春进行时+电视剧	5	9	0.93580060423	11	0.151606318579	4	8	0.861354581673	2	0.0165360376675	1	1	0.0744460225563	9	0.135070280912	
天下hd电脑版	4	10	1.0	13	0.206291983258	5	8	0.857493857494	1	0.0148968803514	-1	2	0.142506142506	12	0.191395102906	
cf火线新兵	2	5	0.545454545455	4	0.07132359298	4	9	0.934378060725	1	0.0178149764046	-2	-4	-0.38892351527	3	0.0535086165754	
赞名片软件	3	9	0.930725346373	11	0.169550964513	3	8	0.840073529412	1	0.0167179144385	0	1	0.0906518169615	10	0.152833050074	
激光生发头盔	5	9	0.913917940467	10	0.156574961046	5	8	0.881066302119	4	0.0814465916858	0	1	0.0328516383477	6	0.07512836936	
刀塔传奇兑换码	5	8	0.866666666667	4	0.0529193089875	4	9	0.925577416595	1	0.0155595302901	1	-1	-0.0589107499287	3	0.0373597786975	
煎中药的正确方法	4	9	0.936802973978	8	0.114376528793	4	8	0.884462151394	7	0.0933816250151	0	1	0.0523408225833	1	0.020994903778	
优秀员工表彰决定范文	3	4	0.509615384615	1	0.0162192593652	1	1	0.185223725286	0	0.0	2	3	0.324391659329	1	0.0162192593652	
保尚家具	0	0	0.0	0	0.0	2	2	0.496694214876	4	0.0984763335838	-2	-2	-0.496694214876	-4	-0.0984763335838	
肾小球滤过率	4	9	0.924377224199	2	0.0300142877932	4	9	0.937455068296	3	0.0749022939677	0	0	-0.0130778440969	-1	-0.0448880061745	
贺卫方	5	10	1.0	12	0.163309117739	6	10	1.0	15	0.185201648221	-1	0	0.0	-3	-0.0218925304819	
lol好听的名字	3	8	0.86076986077	9	0.133175926856	3	8	0.83738317757	3	0.050997451147	0	0	0.0233866831998	6	0.0821784757092	
聚来宝登录	3	7	0.782608695652	9	0.142460313687	4	6	0.7	3	0.0446269592476	-1	1	0.0826086956522	6	0.0978333544398	
清明祭英烈活动体会	2	4	0.42889137738	0	0.0	4	6	0.680147058824	0	0.0	-2	-2	-0.251255681444	0	0.0	
3d极乐宝鉴国语完整版	2	4	0.511025886865	7	0.12700887845	3	5	0.625645438898	5	0.0964011891723	-1	-1	-0.114619552034	2	0.0306076892774	
十年dj版空间链接	2	4	0.477725118483	1	0.0159886537818	2	3	0.340195016251	0	0.0	0	1	0.137530102232	1	0.0159886537818	
小马王影评	3	5	0.622466216216	1	0.00883056616096	5	8	0.874388254486	1	0.0148361263533	-2	-3	-0.25192203827	0	-0.0060055601923	
武书连2015大学排名	2	5	0.559462254395	4	0.0697746835151	4	10	1.0	1	0.0154932631253	-2	-5	-0.440537745605	3	0.0542814203898	
美丽谎言电视剧全集在线观看	3	7	0.798895899054	6	0.0979090685211	2	9	1.0	2	0.137831961485	1	-2	-0.201104100946	4	-0.0399228929636	
逆战辅助吧	4	9	0.945742904841	8	0.110292246681	2	8	0.852166525064	1	0.0154537730748	2	1	0.0935763797777	7	0.0948384736064	
科学家们无修版	3	8	0.851268591426	8	0.138234347101	2	4	0.508474576271	0	0.0	1	4	0.342794015155	8	0.138234347101	
苹果手机掉了怎么找回	5	9	0.935849056604	16	0.207397068107	5	8	0.868778280543	1	0.013717263129	0	1	0.0670707760608	15	0.193679804978	
胡杏儿与黄宗泽的儿子	4	10	1.0	12	0.184295316234	3	7	0.75023923445	5	0.0925863418878	1	3	0.24976076555	7	0.0917089743466	
转基因西红柿	7	8	0.879773691655	12	0.15867480269	7	10	1.0	5	0.078279087168	0	-2	-0.120226308345	7	0.0803957155221	
甜白酒的做法	6	10	1.0	17	0.176692818209	5	10	1.0	4	0.0530821584832	1	0	0.0	13	0.123610659726	
兰州一日游	5	9	0.947627849661	9	0.104624049731	6	7	0.843806104129	5	0.0544257657364	-1	2	0.103821745532	4	0.0501982839949	
弹弓打野鸡视频	2	8	0.860655737705	11	0.178635200195	3	9	0.933890577508	10	0.151699364465	-1	-1	-0.0732348398027	1	0.0269358357297	
万叶集	3	8	0.841713221601	6	0.10386769399	5	9	0.936773255814	0	0.0	-2	-1	-0.0950600342125	6	0.10386769399	
复活节+怎么祷告	2	3	0.37891440501	2	0.0352150934025	3	8	0.83738317757	0	0.0	-1	-5	-0.45846877256	2	0.0352150934025	
韩版小时代演员表	2	9	0.920037629351	9	0.142814927242	4	7	0.783761391881	1	0.015069669353	-2	2	0.13627623747	8	0.127745257889	
南瓜饼的做法大全图解	5	10	1.0	17	0.240183337106	3	10	1.0	2	0.0288720393965	2	0	0.0	15	0.21131129771	
我的邻居山田君	5	6	0.715719063545	7	0.125993087242	4	9	0.933486238532	2	0.040594940228	1	-3	-0.217767174987	5	0.0853981470145	
怎样去斑	5	10	1.0	12	0.145751340556	6	10	1.0	11	0.127747179827	-1	0	0.0	1	0.0180041607282	
韩剧宫国语版全集	3	5	0.609015639374	7	0.121867764695	4	6	0.621739130435	0	0.0	-1	-1	-0.0127234910604	7	0.121867764695	
梦幻西游手游开服时间	3	7	0.776511831727	6	0.0898839796826	3	6	0.668571428571	1	0.0173229437229	0	1	0.107940403155	5	0.0725610359597	
韩国工资水平	3	4	0.503267973856	2	0.0314995886831	2	9	0.937365010799	1	0.0130950978467	1	-5	-0.434097036943	1	0.0184044908363	
木星上行迅雷高清	2	5	0.564102564103	4	0.0692021732914	4	7	0.853164556962	0	0.0	-2	-2	-0.289061992859	4	0.0692021732914	
迷失在马路旁边	4	8	0.853228962818	2	0.033009842935	1	3	0.398815399803	0	0.0	3	5	0.454413563015	2	0.033009842935	
澳门风云2+优酷	2	5	0.560276679842	5	0.0868959107807	3	6	0.767598842816	0	0.0	-1	-1	-0.207322162974	5	0.0868959107807	
cf最新刷枪软件免费版	2	7	0.755980861244	7	0.119878693015	3	8	0.866319444444	1	0.0157891414141	-1	-1	-0.1103385832	6	0.104089551601	
4399弹弹堂辅助	2	7	0.757604562738	7	0.122501660848	3	10	1.0	1	0.0165055271407	-1	-3	-0.242395437262	6	0.105996133707	
都市小道士	3	7	0.780927835052	5	0.0911994276881	3	9	0.933282208589	1	0.0139486893475	0	-2	-0.152354373537	4	0.0772507383407	
dnf爆无影剑艾格斯	6	8	0.88033589923	17	0.221246822979	5	7	0.768935762224	1	0.0174392050902	1	1	0.111400137006	16	0.203807617889	
唐山吧	4	6	0.697508896797	6	0.0875391922105	4	7	0.826368876081	1	0.0131045323553	0	-1	-0.128859979284	5	0.0744346598553	
qq水浒关胜和武松对比	2	5	0.525554484089	4	0.065064724165	2	7	0.756756756757	0	0.0	0	-2	-0.231202272668	4	0.065064724165	
海岛奇兵4月4	3	6	0.654120040692	4	0.0686389816471	3	4	0.414798206278	0	0.0	0	2	0.239321834414	4	0.0686389816471	
药房加盟	2	9	0.925044091711	6	0.089248834602	4	7	0.77519379845	1	0.0156667449691	-2	2	0.149850293261	5	0.0735820896329	
北斗星碳罐作用	3	5	0.543774319066	3	0.0492257677231	2	4	0.48353909465	0	0.0	1	1	0.0602352244159	3	0.0492257677231	
装甲核心	5	10	1.0	7	0.0963066710881	7	10	1.0	6	0.0913735485698	-2	0	0.0	1	0.00493312251826	
脾的位置图	5	8	0.852686308492	9	0.147043095617	5	8	0.861022364217	2	0.0346703456288	0	0	-0.00833605572505	7	0.112372749988	
八十岁生日贺词	3	5	0.663909774436	1	0.0126827291277	3	6	0.709515859766	0	0.0	0	-1	-0.0456060853302	1	0.0126827291277	
抗日奇侠电视剧	5	9	0.940434477926	7	0.106543219847	2	7	0.793973941368	2	0.0315368670418	3	2	0.146460536558	5	0.0750063528049	
公司法2014	2	4	0.441401971522	0	0.0	4	5	0.650602409639	1	0.0146097115736	-2	-1	-0.209200438116	-1	-0.0146097115736	
碧血书香梦	4	7	0.784991568297	9	0.15550066764	6	10	1.0	5	0.0824764276819	-2	-3	-0.215008431703	4	0.0730242399585	
重庆医疗改革事件	2	6	0.655521783181	5	0.085451011853	4	5	0.616063548102	1	0.016053919602	-2	1	0.039458235079	4	0.069397092251	
ez失落的世界皮肤展示	4	5	0.589316987741	5	0.0908713598396	3	7	0.775634517766	0	0.0	1	-2	-0.186317530026	5	0.0908713598396	
我的世界红石电梯存档	3	10	1.0	12	0.191938704567	2	8	0.838888888889	1	0.0168417508418	1	2	0.161111111111	11	0.175096953726	
tf+boys演过的电影	5	8	0.868725868726	8	0.12747628138	3	8	0.843384338434	2	0.0412044840848	2	0	0.025341530292	6	0.0862717972949	
数学家的故事100字	2	6	0.677419354839	1	0.0160038232825	3	4	0.592505854801	1	0.0141991341991	-1	2	0.0849135000378	0	0.00180468908339	
去新加坡打工怎么样	3	6	0.673285198556	4	0.060895414223	4	7	0.810043668122	1	0.0132380574302	-1	-1	-0.136758469566	3	0.0476573567928	
魔影师加点	2	5	0.577534791252	4	0.0670697007546	2	8	0.848563968668	0	0.0	0	-3	-0.271029177416	4	0.0670697007546	
十二路弹腿	5	8	0.866457187745	9	0.140456492727	5	10	1.0	1	0.0151702176056	0	-2	-0.133542812255	8	0.125286275122	
怎样卡永久蓝钻	2	7	0.723659889094	6	0.0935380577067	3	7	0.79203187251	1	0.0144932995292	-1	0	-0.0683719834157	5	0.0790447581776	
偏方简单治脚气灰指甲	4	7	0.775132275132	6	0.102735325164	4	8	0.830409356725	0	0.0	0	-1	-0.0552770815929	6	0.102735325164	
变声期	6	7	0.771224307417	4	0.0727581384069	5	9	0.934487951807	2	0.0460761226725	1	-2	-0.16326364439	2	0.0266820157344	
增高方法	6	9	0.941338854382	8	0.106398208225	6	9	0.930787589499	3	0.0551717653866	0	0	0.0105512648835	5	0.0512264428381	
全球鹰GS	5	9	0.937865497076	7	0.132266462314	4	10	1.0	6	0.147147860515	1	-1	-0.062134502924	1	-0.0148813982003	
清明祭烈士小报	3	5	0.611872146119	6	0.112126767497	2	7	0.736612021858	0	0.0	1	-2	-0.124739875739	6	0.112126767497	
破晓电影迅雷下载	1	5	0.562306900103	5	0.0868590614819	2	4	0.488798370672	2	0.0313423440104	-1	1	0.0735085294309	3	0.0555167174715	
开膛手qj	3	6	0.682969432314	11	0.184800571419	3	7	0.763800904977	0	0.0	0	-1	-0.080831472663	11	0.184800571419	
毛选与邓猫论	2	3	0.335758835759	2	0.0350686688977	3	7	0.75023923445	0	0.0	-1	-4	-0.414480398691	2	0.0350686688977	
逃离敦霍尔德	4	5	0.66161998486	9	0.146138022057	4	6	0.706618962433	0	0.0	0	-1	-0.044998977573	9	0.146138022057	
新疆石河子职业技术学院	5	8	0.88218988219	6	0.128389327274	5	7	0.816590563166	4	0.0862557077626	0	1	0.065599319024	2	0.0421336195115	
玛法达2015年星座运势	5	6	0.694444444444	7	0.128897349802	4	6	0.7	1	0.0156802507837	1	0	-0.00555555555556	6	0.113217099018	
环太平洋2电影	6	10	1.0	11	0.160528461464	4	10	1.0	7	0.108878890601	2	0	0.0	4	0.0516495708631	
杀手代号47游戏修改器	2	6	0.661691542289	6	0.104285265124	3	6	0.654761904762	0	0.0	-1	0	0.00692963752665	6	0.104285265124	
60天提高400分	4	5	0.590163934426	1	0.0162661810413	5	8	0.861244019139	1	0.0145048571843	-1	-3	-0.271080084713	0	0.00176132385697	
电脑主题下载win7	1	9	0.919400187441	9	0.142279538574	1	2	0.18691588785	0	0.0	0	7	0.732484299591	9	0.142279538574	
关于清明节的作文650字	2	2	0.393398751115	1	0.00448351677505	2	3	0.405650857719	0	0.0	0	-1	-0.0122521066044	1	0.00448351677505	
黄金价格走势图	4	9	0.940014114326	7	0.0868201577761	4	7	0.779374471682	2	0.0307507876739	0	2	0.160639642644	5	0.0560693701023	
英语歌	4	5	0.671081677704	3	0.0325176231156	4	10	1.0	9	0.133616686344	0	-5	-0.328918322296	-6	-0.101099063228	
一件令我感动的事600字	1	2	0.256673511294	0	0.0	3	4	0.627674750357	1	0.0129736739722	-2	-2	-0.371001239063	-1	-0.0129736739722	
cf挑战新图地狱王宫	5	8	0.865930599369	9	0.148295767711	3	8	0.840909090909	0	0.0	2	0	0.02502150846	9	0.148295767711	
kate眉粉	4	10	1.0	18	0.283558151885	3	10	1.0	4	0.0830936984912	1	0	0.0	14	0.200464453394	
冰河世纪3国语版	2	9	0.930441898527	12	0.18625691322	3	3	0.472727272727	0	0.0	-1	6	0.4577146258	12	0.18625691322	
刀剑神域1	4	10	1.0	10	0.131242355198	4	9	0.928805237316	4	0.0687576253534	0	1	0.0711947626841	6	0.0624847298451	
深海里的星星漫画	3	5	0.601686972821	4	0.0769363430805	3	8	0.877464788732	7	0.0974750320102	0	-3	-0.275777815911	-3	-0.0205386889297	
dnf天行者	5	6	0.707532051282	10	0.168821787723	4	9	0.925257731959	0	0.0	1	-3	-0.217725680677	10	0.168821787723	
safe+and+sound+吉他谱	3	4	0.521582733813	8	0.185113061967	3	7	0.730726256983	0	0.0	0	-3	-0.20914352317	8	0.185113061967	
呼噜小精灵3	5	8	0.854202401372	7	0.130199200393	4	8	0.860465116279	5	0.0899701100824	1	0	-0.00626271490686	2	0.0402290903104	
鸡爪的做法大全	3	10	1.0	20	0.254653132417	5	10	1.0	5	0.0886640072783	-2	0	0.0	15	0.165989125139	
花样男子动漫	6	9	0.943029490617	7	0.0902172179754	4	8	0.874368231047	3	0.0418510009846	2	1	0.0686612595697	4	0.0483662169908	
思维导图图片	5	9	0.932806324111	13	0.205583554961	6	9	0.939330543933	7	0.171616584253	-1	0	-0.00652421982238	6	0.0339669707087	
武林风4月4日	4	6	0.673390970221	5	0.082962835992	3	8	0.857142857143	1	0.014933572175	1	-2	-0.183751886922	4	0.068029263817	
易语言dll注入器源码	2	5	0.581460674157	3	0.0473821060106	5	8	0.843243243243	0	0.0	-3	-3	-0.261782569086	3	0.0473821060106	
我的世界怎么遥控	4	7	0.763888888889	5	0.0824659231722	4	9	0.926829268293	1	0.0152978056426	0	-2	-0.162940379404	4	0.0671681175296	
僵尸世界大战下载	3	8	0.840674789128	7	0.11403441536	3	8	0.845470692718	3	0.0721007589214	0	0	-0.00479590358919	4	0.0419336564391	
一个头两个大迅雷下载	4	6	0.73581973582	7	0.109106506876	2	7	0.728971962617	0	0.0	2	-1	0.00684777320291	7	0.109106506876	
范府大院	5	8	0.878637331441	6	0.0959326791919	4	8	1.0	2	0.137831961485	1	0	-0.121362668559	4	-0.0418992822928	
黑马股票	6	9	0.931945556445	8	0.112003357333	5	6	0.715918367347	2	0.0315072356215	1	3	0.216027189098	6	0.0804961217112	
战地2单机地图	4	5	0.560037523452	3	0.04747100302	3	9	0.931978107897	4	0.10719169806	1	-4	-0.371940584445	-1	-0.0597206950396	
海贼王震震果实txt	4	7	0.756679389313	3	0.0482863446749	2	3	0.340195016251	0	0.0	2	4	0.416484373062	3	0.0482863446749	
宜家装修样板间	5	10	1.0	13	0.219065539125	4	7	0.816970546985	10	0.177330103277	1	3	0.183029453015	3	0.0417354358481	
那时花开作文600字	2	5	0.570707070707	0	0.0	3	5	0.655581947743	0	0.0	-1	0	-0.0848748770364	0	0.0	
qq勋章墙	3	8	0.858215179316	11	0.173510453259	6	10	1.0	5	0.0748823569529	-3	-2	-0.141784820684	6	0.0986280963059	
六年级数学	4	6	0.723577235772	5	0.0752410312207	6	9	0.940533151059	7	0.0862399801156	-2	-3	-0.216955915287	-2	-0.0109989488949	
机械贼卡组	2	7	0.754335260116	7	0.113753572426	3	9	0.920980926431	1	0.0165205185369	-1	-2	-0.166645666315	6	0.0972330538894	
河津旅行社	2	2	0.380692167577	1	0.00175378010712	4	4	0.593729588504	3	0.087231162045	-2	-2	-0.213037420927	-2	-0.0854773819379	
变形计2014年全集杨桐	2	7	0.774336283186	10	0.16519722341	1	8	0.861685214626	5	0.0890446596329	1	-1	-0.0873489314406	5	0.0761525637773	
武汉地铁规划图	4	7	0.792006525285	11	0.226612673366	5	10	1.0	11	0.177082335141	-1	-3	-0.207993474715	0	0.0495303382252	
葫芦娃找爷爷	5	10	1.0	10	0.160030025736	4	10	1.0	8	0.0829717682021	1	0	0.0	2	0.0770582575343	
高梓淇	6	10	1.0	18	0.227957557167	5	10	1.0	19	0.192237597302	1	0	0.0	-1	0.0357199598654	
仙路争锋	4	7	0.790296052632	3	0.0565966787321	5	8	0.896674584323	6	0.0565720146837	-1	-1	-0.106378531691	-3	2.46640484927e-05	
清明资料	4	5	0.615036231884	4	0.105291336674	5	6	0.711203319502	1	0.0150946812524	-1	-1	-0.096167087618	3	0.0901966554213	
北国雄狮赵尚志阅读答案	3	5	0.580867850099	1	0.0166351378104	2	7	0.750716332378	0	0.0	1	-2	-0.16984848228	1	0.0166351378104	
九年级数学	5	7	0.776902887139	7	0.124948368443	6	8	0.854515050167	4	0.0682517482517	-1	-1	-0.0776121630281	3	0.056696620191	
水冷机箱	4	9	0.931174089069	15	0.22611110275	7	10	1.0	9	0.110511271549	-3	-1	-0.0688259109312	6	0.115599831201	
蒙古族的风俗习惯作文	3	5	0.610555050045	0	0.0	1	3	0.398815399803	0	0.0	2	2	0.211739650243	0	0.0	
联通puk码解锁方法	4	6	0.690909090909	7	0.12124535316	5	9	0.925193465176	0	0.0	-1	-3	-0.234284374267	7	0.12124535316	
清明祭文诗词	1	2	0.228571428571	2	0.0370725928347	3	8	0.849740932642	0	0.0	-2	-6	-0.621169504071	2	0.0370725928347	
谜药购买	2	5	0.575848303393	3	0.0505030830532	2	5	0.619256017505	0	0.0	0	0	-0.0434077141123	3	0.0505030830532	
山西忻州创奇高中	4	4	0.571308724832	3	0.148039282952	5	7	0.816584680253	1	0.012782214272	-1	-3	-0.245275955421	2	0.13525706868	
蜀门社区	3	5	0.587638376384	3	0.0466827391322	2	6	0.698440207972	0	0.0	1	-1	-0.110801831589	3	0.0466827391322	
武林风2015年3月28日	2	2	0.258977149075	2	0.0349964200622	3	8	0.829076620825	1	0.0178674763351	-1	-6	-0.57009947175	1	0.0171289437272	
蜜恋酸配甜	3	7	0.770477047705	5	0.0852258088262	4	10	1.0	1	0.0150075007501	-1	-3	-0.229522952295	4	0.0702183080762	
穿越小说下载	2	3	0.337416481069	2	0.0375679949661	2	7	0.772251308901	6	0.0848056481041	0	-4	-0.434834827831	-4	-0.047237653138	
丰田皮卡	5	8	0.863782051282	10	0.168291571347	6	10	1.0	8	0.14401890996	-1	-2	-0.136217948718	2	0.0242726613865	
剑逆九天	3	4	0.517045454545	3	0.0617642503098	3	8	0.854879065888	0	0.0	0	-4	-0.337833611343	3	0.0617642503098	
带妈妈回家电视剧全集	3	10	1.0	13	0.192803992295	3	7	0.785777777778	4	0.0725591919192	0	3	0.214222222222	9	0.120244800376	
北京清明踏青好去处	3	9	0.928631402183	12	0.189848585581	5	8	0.854271356784	1	0.01523374448	-2	1	0.0743600453991	11	0.174614841101	
孟良崮国家森林公园	6	9	0.930668841762	9	0.189287858481	4	9	0.958845789972	7	0.0961770018061	2	0	-0.0281769482098	2	0.0931108566752	
神界传说txt下载	2	2	0.238839285714	1	0.0188259260489	2	3	0.409311348206	0	0.0	0	-1	-0.170472062491	1	0.0188259260489	
怎么破解手机图案锁	4	9	1.0	12	0.199018480383	6	8	0.838289962825	1	0.0169043595809	-2	1	0.161710037175	11	0.182114120802	
威震三界	3	7	0.784810126582	3	0.0487773124402	3	8	0.877723120169	1	0.012782214272	0	-1	-0.0929129935864	2	0.0359950981682	
qq空间日记	4	6	0.661691542289	4	0.0707170467366	5	5	0.659090909091	5	0.078227415218	-1	1	0.00260063319765	-1	-0.00751036848143	
异次元杀阵下载	3	7	0.739089184061	5	0.0800191164126	3	5	0.577669902913	0	0.0	0	2	0.161419281148	5	0.0800191164126	
美的电压力锅c6故障	3	5	0.624685138539	7	0.103454034128	2	7	0.802502234138	0	0.0	1	-2	-0.177817095599	7	0.103454034128	
僵尸大时代	5	6	0.74025974026	10	0.168095626219	5	9	0.952448545067	2	0.0376850119363	0	-3	-0.212188804808	8	0.130410614283	
100种简单扎头发图解	4	9	0.934108527132	16	0.205678510706	5	9	0.925641025641	3	0.0523263403263	-1	0	0.00846750149076	13	0.153352170379	
怎样清理c盘	3	9	0.933749025721	16	0.226281919409	5	10	1.0	6	0.088994926642	-2	-1	-0.066250974279	10	0.137286992767	
巧克力图片	3	9	0.927659574468	13	0.218987582061	4	8	0.92551369863	7	0.178009028643	-1	1	0.00214587583795	6	0.0409785534186	
景颇歌曲56视频	1	6	0.653575025176	3	0.0618324554409	3	3	0.332159624413	0	0.0	-2	3	0.321415400763	3	0.0618324554409	
LOL比赛视频	4	10	1.0	15	0.214914957227	5	9	0.926644182125	5	0.0841637283459	-1	1	0.0733558178752	10	0.130751228881	
韩雪的老公	4	9	0.926850258176	11	0.156135428597	4	8	0.871111111111	10	0.170856565657	0	1	0.0557391470644	1	-0.0147211370595	
福建一带一路龙头股	3	4	0.469854469854	3	0.0526030033465	2	5	0.534759358289	1	0.0194535731648	1	-1	-0.0649048884343	2	0.0331494301817	
扇子舞红红的线	2	9	0.931062449311	12	0.195174823699	2	7	0.759889604416	4	0.075095759806	0	2	0.171172844895	8	0.120079063893	
小米note双通	3	5	0.582127659574	7	0.119506446255	3	9	1.0	0	0.0	0	-4	-0.417872340426	7	0.119506446255	
qq分组简单2个分组	2	2	0.244536940687	1	0.0175525803744	2	2	0.252212389381	0	0.0	0	0	-0.00767544869375	1	0.0175525803744	
创维电视软件下载工具	3	5	0.584186046512	4	0.0627647618224	4	10	1.0	1	0.0166566766567	-1	-5	-0.415813953488	3	0.0461080851657	
威虎山电影	4	9	0.932378679395	8	0.140097239843	5	10	1.0	8	0.114934017595	-1	-1	-0.0676213206046	0	0.0251632222482	
让我难忘的一件事400字	2	4	0.49504950495	0	0.0	3	3	0.470894874023	1	0.0158028591738	-1	1	0.0241546309279	-1	-0.0158028591738	
奥拉星秒杀辅助	3	6	0.675675675676	4	0.0672694999833	3	8	0.829411764706	0	0.0	0	-2	-0.15373608903	4	0.0672694999833	
护士节活动方案	2	2	0.298969072165	0	0.0	5	7	0.802721088435	1	0.0137483680341	-3	-5	-0.50375201627	-1	-0.0137483680341	
我的世界手机版存档	5	8	0.877078814172	10	0.129364266572	4	9	0.938990182328	1	0.0127553232182	1	-1	-0.0619113681561	9	0.116608943354	
春天的田野作文	3	3	0.362272240086	0	0.0	3	3	0.49710982659	0	0.0	0	0	-0.134837586504	0	0.0	
电脑赚钱软件	4	10	1.0	13	0.196350251545	6	9	0.92863002461	1	0.0149213215005	-2	1	0.0713699753897	12	0.181428930045	
发箍怎么戴好看	5	10	1.0	18	0.296295297823	3	9	0.931116389549	1	0.0144014971568	2	1	0.0688836104513	17	0.281893800667	
怪物大师炎龙图片	4	4	0.49555774926	4	0.0767366246234	3	7	0.775	4	0.0844137931034	1	-3	-0.27944225074	0	-0.00767716848006	
大陆小岛全集免费观看	3	6	0.722222222222	5	0.0847076439002	3	7	0.0	2	0.137831961485	0	-1	0.722222222222	3	-0.0531243175845	
石景山游乐园	6	10	1.0	10	0.217165974196	6	9	0.94656019656	4	0.138887647979	0	1	0.0534398034398	6	0.0782783262178	
2015最新说说	4	6	0.705882352941	12	0.191996501203	3	5	0.644317252657	1	0.0148725191407	1	1	0.0615651002838	11	0.177123982062	
名词解释	3	5	0.592911877395	2	0.032314233218	3	5	0.674644727001	2	0.0363337186374	0	0	-0.0817328496061	0	-0.00401948541942	
传奇SF	3	8	0.850131463628	7	0.0978646527373	3	5	0.624881291548	1	0.0172735906069	0	3	0.22525017208	6	0.0805910621304	
龙庆峡	6	9	0.946875	11	0.221506737918	5	9	0.959647495362	17	0.174872659808	1	0	-0.0127724953618	-6	0.0466340781105	
怎样修改群头像	3	6	0.718646864686	14	0.197645600991	5	8	0.845470692718	1	0.0161537219441	-2	-2	-0.126823828031	13	0.181491879047	
2015年4月5日山东肉毛鸡价格	0	0	0.0	0	0.0	1	1	0.103092783505	0	0.0	-1	-1	-0.103092783505	0	0.0	
洪荒封神	4	7	0.782051282051	3	0.061897499444	4	9	0.94324853229	2	0.0134661685347	0	-2	-0.161197250238	1	0.0484313309093	
保健品行业分析报告	3	4	0.509018036072	2	0.0338036668132	4	7	0.781589958159	3	0.0456629897299	-1	-3	-0.272571922087	-1	-0.0118593229168	
社会与法普法栏目剧全集莲花闹海棠	2	4	0.470954356846	4	0.0774576192753	2	6	0.652694610778	0	0.0	0	-2	-0.181740253932	4	0.0774576192753	
移动迷宫下载	3	8	0.840674789128	7	0.110661863335	5	8	0.857959183673	4	0.0583079777365	-2	0	-0.0172843945451	3	0.0523538855984	
汤姆索亚历险记主要内容	4	6	0.723352318959	2	0.0387960109014	4	6	0.666347075743	0	0.0	0	0	0.0570052432155	2	0.0387960109014	
cf蓝钻礼包领取器	3	7	0.747544204322	5	0.0828488690559	3	8	0.828063241107	0	0.0	0	-1	-0.0805190367845	5	0.0828488690559	
郑州大学排名2014排行	2	3	0.407960199005	7	0.122769054356	5	7	0.791366906475	1	0.0145396410145	-3	-4	-0.38340670747	6	0.108229413342	
在线思维导图	5	7	0.810549777117	8	0.106090191508	5	7	0.803104575163	5	0.105365418895	0	0	0.00744520195399	3	0.000724772612983	
那美辅助符文	3	7	0.793522267206	13	0.208033953915	4	9	0.907545164718	0	0.0	-1	-2	-0.114022897512	13	0.208033953915	
武林群侠传攻略	4	8	0.878658101356	15	0.161940886621	4	7	0.842865743528	2	0.0516928465875	0	1	0.0357923578282	13	0.110248040034	
一代宗师影评	4	5	0.623737373737	2	0.0283973564643	6	9	0.941806020067	2	0.0324937671025	-2	-4	-0.31806864633	0	-0.00409641063819	
lol无法连接服务器	4	9	0.915294117647	11	0.157523143086	4	9	0.912225705329	4	0.0714142556144	0	0	0.00306841231791	7	0.0861088874719	
